CaseName,Zone,Minor_Techs_p0,Hydropower_p0,Existing_Nuclear_p0,New_Nuclear_p0,Coal_p0,Solar_p0,Wind_p0,Natural_Gas_p0,Battery_Power_p0,Battery_Energy_p0,Long_Duration_Storage_p0,Minor_Techs_p1,Hydropower_p1,Existing_Nuclear_p1,New_Nuclear_p1,Coal_p1,Solar_p1,Wind_p1,Natural_Gas_p1,Battery_Power_p1,Battery_Energy_p1,Long_Duration_Storage_p1,Minor_Techs_p2,Hydropower_p2,Existing_Nuclear_p2,New_Nuclear_p2,Coal_p2,Solar_p2,Wind_p2,Natural_Gas_p2,Battery_Power_p2,Battery_Energy_p2,Long_Duration_Storage_p2,Minor_Techs_p3,Hydropower_p3,Existing_Nuclear_p3,New_Nuclear_p3,Coal_p3,Solar_p3,Wind_p3,Natural_Gas_p3,Battery_Power_p3,Battery_Energy_p3,Long_Duration_Storage_p3
base_cesccstech,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,0.0,113.4,9.9,3456.7,0.35,0.0,3940.29,366.02,11497.04,3000.6,5057.26,0.0,113.4,9.9,3456.7,2.24,0.0,13250.42,1384.9,11498.16,6000.09,20538.44,0.0,113.4,9.9,3456.7,9201.59,0.0,17599.55,2750.77,11543.84,8910.1,47464.0,0.0
base_cesccstech,System,17989.2,22532.7,73817.4,0.0,85456.5,53338.9,30993.3,241933.3,1318.0,2636.0,0.0,17989.2,22532.7,73817.4,9.94,70350.5,110440.0,60827.48,226695.05,11167.81,20084.19,0.0,17989.2,22529.9,73817.4,59.96,70339.18,128926.12,94400.69,258520.57,30798.05,122857.33,0.0,17977.5,22528.1,73817.4,13246.24,70330.06,220909.0,138598.21,320724.66,49944.11,214910.65,0.0
base_cesinccsret,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,0.0,113.4,9.9,3456.7,0.2,0.0,3935.94,1377.29,11494.32,2000.05,3605.55,0.0,113.4,9.9,3456.7,0.35,0.0,4173.96,1382.54,11494.45,2000.74,6640.34,0.0,66.3,9.9,3456.7,4185.59,0.0,4523.0,2735.08,-0.0,8580.69,44551.8,0.0
base_cesinccsret,System,17989.2,22532.7,73817.4,0.0,85456.5,53338.9,30993.3,241933.3,1318.0,2636.0,0.0,17989.2,22532.7,73817.4,5.66,70383.52,109293.8,61298.14,226553.62,10614.17,18624.2,0.0,17989.2,22529.9,73817.4,9.62,70381.62,118738.79,94698.78,259944.84,29524.59,116008.32,0.0,17930.4,22528.1,73817.4,4466.73,70378.22,206194.97,137101.89,333029.48,49338.31,201691.61,0.0
base_base,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,0.0,113.4,9.9,3456.7,0.49,0.0,3941.97,1179.52,11499.96,2000.67,3218.32,0.0,113.4,9.9,3456.7,1.12,0.0,4180.0,1384.43,11499.67,2001.06,6520.08,0.0,113.4,9.9,3456.7,5.82,0.0,4531.97,2737.48,11557.89,3131.14,11505.18,0.0
base_base,System,17989.2,22532.7,73817.4,0.0,85456.5,53338.9,30993.3,241933.3,1318.0,2636.0,0.0,17989.2,22532.7,73817.4,14.02,70359.31,109337.4,61360.66,226748.06,10651.58,18733.24,0.0,17989.2,22529.9,73817.4,30.66,70352.81,118818.6,94645.58,259978.59,29545.84,116122.35,0.0,17977.5,22528.1,73817.4,298.47,70336.24,188300.72,133140.2,347806.38,46775.61,187152.16,0.0
base_cesincccstech,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,0.0,113.4,9.9,3456.7,0.49,0.0,3941.06,133.12,11500.13,3000.28,4894.72,0.0,113.4,9.9,3456.7,3.25,0.0,13271.51,1387.59,11516.46,6000.95,20032.18,0.0,113.4,9.9,3456.7,3736.79,0.0,17599.23,2753.68,11559.79,8391.81,44046.76,0.0
base_cesincccstech,System,17989.2,22532.7,73817.4,0.0,85456.5,53338.9,30993.3,241933.3,1318.0,2636.0,0.0,17989.2,22532.7,73817.4,14.06,70363.37,110698.26,60719.03,226719.29,11273.84,20375.62,0.0,17989.2,22529.9,73817.4,90.95,70359.52,129151.51,94380.37,258475.22,30834.14,123007.14,0.0,17977.5,22528.1,73817.4,4413.82,70348.68,209863.9,137329.19,334919.95,48959.3,198667.72,0.0
base_cesccstechnuc45,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,0.0,113.4,9.9,3456.7,0.49,0.0,3941.06,133.12,11500.13,3000.28,4894.72,0.0,113.4,9.9,3456.7,3.25,0.0,13271.51,1387.59,11516.46,6000.95,20032.18,0.0,113.4,9.9,3456.7,9324.96,0.0,17599.07,2751.56,11543.54,9323.23,49237.41,0.0
base_cesccstechnuc45,System,17989.2,22532.7,73817.4,0.0,85456.5,53338.9,30993.3,241933.3,1318.0,2636.0,0.0,17989.2,22532.7,73817.4,14.06,70363.37,110698.26,60719.03,226719.29,11273.84,20375.62,0.0,17989.2,22529.9,73817.4,90.95,70359.52,129151.51,94380.37,258475.22,30834.14,123007.14,0.0,17977.5,22528.1,73817.4,13171.77,70349.19,221242.38,138832.8,320740.18,49838.74,213689.35,0.0
