CaseName,Zone,Total_NJ_Load_p1,Total_NJ_Emissions_p1,Total_System_Emissions_p1,Total_NJ_Load_p2,Total_NJ_Emissions_p2,Total_System_Emissions_p2,Total_NJ_Load_p3,Total_NJ_Emissions_p3,Total_System_Emissions_p3
base_cesccstech,NJ,92732512.43,4082898.55,754644715.68,105710292.57,137746.02,858586898.04,130848050.0,104794.76,807260374.02
base_cesinccsret,NJ,92732512.43,4135726.18,754500062.31,105710292.57,88533.52,865129225.05,130848050.0,0.0,829218476.65
base_base,NJ,92732512.43,4136511.53,754694776.49,105710292.57,114077.6,865523144.16,130848050.0,132775.83,874491426.05
base_cesincccstech,NJ,92732512.43,4105152.46,754609253.35,105710292.57,125509.45,859253992.19,130848050.0,126349.43,841897437.32
base_cesccstechnuc45,NJ,92732512.43,4105152.46,754609253.35,105710292.57,125509.45,859253992.19,130848050.0,113127.58,806585063.81
base_cesccsret,NJ,92732512.43,4133109.2,754445975.76,105710292.57,86558.52,865129998.76,130848050.0,2042.03,799514133.98
base_cesccstechnuc35,NJ,92732512.43,4082898.55,754644715.68,105710292.57,124863.49,855599186.65,130848050.0,99206.89,806504057.65
base_cesccs,NJ,92732512.43,4138500.9,754587428.33,105710292.57,90308.26,864943735.77,130848050.0,101103.11,813790513.32
base_cesinstate50,NJ,92732512.43,4107199.43,754754700.74,105710292.57,154522.36,866852206.32,130848050.0,139279.52,888814528.6
base_cesincccs,NJ,92732512.43,4128540.6,754658964.63,105710292.57,142678.19,867038297.21,130848050.0,50962.65,846000044.37
base_ces,NJ,92732512.43,4138500.9,754587428.33,105710292.57,90308.26,864943735.77,130848050.0,121781.32,874395879.45
base_cesccstechret,NJ,92732512.43,4076950.24,754565217.92,105710292.57,140827.25,858852862.04,130848050.0,0.0,785599025.16
base_cesincccstechinstate,NJ,92732512.43,4105152.46,754609253.35,105710292.57,135908.09,858691616.09,130848050.0,122148.48,842880530.41
lds_cesccstech,NJ,92732512.43,4069875.82,754620742.12,105710292.57,141760.64,858757268.99,130848050.0,114104.78,816215963.9
lds_cesccstechnuc45,NJ,92732512.43,3987169.22,756161814.31,105710292.57,654565.36,872642346.6,130848050.0,903501.35,840144127.84
lds_cesincccs,NJ,92732512.43,4157914.71,754488733.52,105710292.57,136230.83,866931888.14,130848050.0,112611.29,849032807.67
lds_base,NJ,92732512.43,4089650.61,754740567.57,105710292.57,158619.07,866873179.83,130848050.0,133079.66,874520788.7
lds_ces,NJ,92732512.43,4002652.8,756377248.79,105710292.57,739303.56,879182939.85,130848050.0,325551.52,876038667.48
lds_cesincccstech,NJ,92732512.43,4073649.96,754685030.37,105710292.57,134313.75,859283681.24,130848050.0,108136.39,843926995.97
lds_cesccstechnuc35,NJ,92732512.43,4077207.83,754667955.94,105710292.57,117397.56,855624649.32,130848050.0,109392.03,816440202.79
lds_cesincccstechinstate,NJ,92732512.43,4072711.32,754565898.46,105710292.57,131095.42,858741265.28,130848050.0,96123.13,847004359.48
lds_cesccs,NJ,92732512.43,4140199.46,754577919.71,105710292.57,131250.3,866659048.22,130848050.0,105570.41,821988875.94
lds_cesinstate50,NJ,92732512.43,4106293.9,754659593.91,105710292.57,139316.13,867333368.96,130848050.0,145975.26,888972162.29
lds_cesccsret,NJ,92732512.43,3963745.93,755783389.05,105710292.57,839843.63,875108498.94,130848050.0,3762.41,818107430.15
highambition_cesinstate50,NJ,92732512.43,4096658.13,754700881.45,105710292.57,145290.1,866792069.58,130848050.0,135598.78,888855513.64
highambition_cesccstech,NJ,92732512.43,4105152.46,754609253.35,105710292.57,125509.45,859253992.19,130848050.0,119127.17,806709204.35
highambition_base,NJ,92732512.43,2083494.38,694315287.36,105710292.57,799089.05,811815615.18,130848050.0,320192.78,803983093.32
highambition_cesincccstechinstate,NJ,92732512.43,2240978.36,694176010.15,105710292.57,946080.16,797043431.92,130848050.0,309185.49,786050032.43
highambition_cesccstechret,NJ,92732512.43,4025147.87,754670660.42,105710292.57,143611.31,859502299.77,130848050.0,0.0,786818102.1
highambition_ces,NJ,92732512.43,2082575.68,694281058.87,105710292.57,813331.09,813121077.1,130848050.0,306392.68,791475856.82
highambition_cesincccs,NJ,92732512.43,2084392.07,694287065.56,105710292.57,814974.95,812696830.28,130848050.0,329653.83,790086638.53
highambition_cesincccstech,NJ,92732512.43,2240978.36,694176010.15,105710292.57,955838.42,798317995.88,130848050.0,302263.77,785390868.71
highambition_cesinccsret,NJ,92732512.43,2085866.43,694308267.79,105710292.57,813968.52,812575591.77,130848050.0,0.0,766345391.3
highambition_cesccstechnuc35,NJ,92732512.43,4105152.46,754609253.35,105710292.57,74551.12,853960719.8,130848050.0,118331.67,807262956.61
highambition_cesccs,NJ,92732512.43,4135310.62,754552785.77,105710292.57,134885.14,866683190.14,130848050.0,37474.15,811172975.24
highambition_cesccstechnuc45,NJ,92732512.43,4105152.46,754609253.35,105710292.57,125509.45,859253992.19,130848050.0,113127.58,806585063.81
highng_cesccs,NJ,92732512.43,2293043.23,968493789.72,105710292.57,133690.6,983793150.45,130848050.0,121472.72,966622753.49
highng_cesincccs,NJ,92732512.43,2303371.12,968493576.84,105710292.57,134488.91,983834224.43,130848050.0,42455.31,1012163591.7
highng_cesincccstechinstate,NJ,92732512.43,2363518.79,968163607.49,105710292.57,200981.64,974472383.09,130848050.0,130379.79,1007056384.22
highng_cesinstate50,NJ,92732512.43,2340401.18,968473768.44,105710292.57,164781.53,984095876.89,130848050.0,139785.8,1054357979.68
highng_cesccstechret,NJ,92732512.43,2324876.14,968275970.45,105710292.57,187072.42,975530048.47,130848050.0,314.97,957968183.13
highng_cesccstech,NJ,92732512.43,2320457.26,968087227.99,105710292.57,170453.21,974840674.39,130848050.0,132905.16,960267105.17
highng_base,NJ,92732512.43,2347003.57,968479079.74,105710292.57,137158.88,983830712.64,130848050.0,124430.7,1047057932.14
highng_cesccstechnuc35,NJ,92732512.43,2320457.26,968087227.99,105710292.57,181449.05,969833900.0,130848050.0,127400.92,960261929.39
highng_cesccstechnuc45,NJ,92732512.43,2321858.33,968176558.72,105710292.57,120009.03,974718966.19,130848050.0,126476.85,960030963.17
highng_ces,NJ,92732512.43,2293043.23,968493789.72,105710292.57,133690.6,983793150.45,130848050.0,131153.29,1046987226.82
highng_cesinccsret,NJ,92732512.43,2339782.54,968539870.66,105710292.57,140290.02,983983122.93,130848050.0,962.38,1007948715.46
highng_cesincccstech,NJ,92732512.43,2320457.26,968087227.99,105710292.57,170453.21,974840674.39,130848050.0,48832.99,1004676861.51
lowambition_ces,NJ,92732512.43,1849087.55,825662004.73,105710292.57,318248.28,907071934.53,130848050.0,127726.48,925775135.19
lowambition_cesincccstechinstate,NJ,92732512.43,1825092.28,826361312.2,105710292.57,274325.74,898150850.16,130848050.0,125576.07,893297510.06
lowambition_cesccstechret,NJ,92732512.43,1841685.98,825498737.68,105710292.57,222211.63,899003422.0,130848050.0,285.6,841178244.08
