CaseName,Zone,Energy_Price_p1,PJM_Capacity_Price_p1,NJ_Clean_Capacity_Price_p1,EAC_Price_p1,MinCap_Price_p1,Export_Credit_p1,Total_Price_p1,Energy_Price_p2,PJM_Capacity_Price_p2,NJ_Clean_Capacity_Price_p2,EAC_Price_p2,MinCap_Price_p2,Export_Credit_p2,Total_Price_p2,Energy_Price_p3,PJM_Capacity_Price_p3,NJ_Clean_Capacity_Price_p3,EAC_Price_p3,MinCap_Price_p3,Export_Credit_p3,Total_Price_p3
base_cesccstech,NJ,28.27,25.21,0.0,0.0,0.0,6.48,47.0,37.21,32.87,0.0,0.0,0.0,13.26,56.82,28.29,37.84,73.24,0.0,0.0,16.85,122.52
base_cesinccsret,NJ,28.14,27.66,0.0,0.0,0.0,6.63,49.18,37.83,32.9,0.0,0.0,0.0,11.75,58.98,31.55,43.34,30.52,0.0,0.0,13.98,91.43
base_base,NJ,28.19,26.09,0.0,0.0,0.0,6.56,47.71,37.83,32.87,0.0,-0.0,0.0,11.69,59.01,33.96,41.19,0.0,0.0,0.0,14.09,61.06
base_cesincccstech,NJ,28.29,25.04,0.0,0.0,0.0,6.43,46.9,37.26,32.64,0.0,0.0,0.0,13.25,56.65,32.66,40.05,31.74,0.0,0.0,16.03,88.42
base_cesccstechnuc45,NJ,28.29,25.04,0.0,0.0,0.0,6.43,46.9,37.26,32.64,0.0,0.0,0.0,13.25,56.65,28.25,37.94,73.31,0.0,0.0,16.85,122.65
base_cesccsret,NJ,28.14,27.57,0.0,0.0,0.0,6.62,49.09,37.84,32.9,0.0,0.0,0.0,11.75,58.99,27.81,41.32,70.7,0.0,0.0,16.26,123.58
base_cesccstechnuc35,NJ,28.27,25.21,0.0,0.0,0.0,6.48,47.0,36.76,32.4,0.0,0.0,0.0,14.93,54.22,28.28,37.91,73.31,0.0,0.0,17.04,122.46
base_cesccs,NJ,28.2,26.04,0.0,0.0,0.0,6.55,47.69,37.84,32.88,0.0,0.0,0.0,11.73,58.99,29.31,37.74,72.25,0.0,0.0,16.65,122.64
base_cesinstate50,NJ,28.19,26.09,0.0,0.0,0.0,6.56,47.72,37.84,32.78,0.0,0.0,0.0,11.64,58.98,34.89,40.95,0.0,0.0,0.0,15.88,59.96
base_cesincccs,NJ,28.19,26.12,0.0,0.0,0.0,6.56,47.76,37.85,32.67,0.0,0.0,0.0,11.6,58.92,33.22,40.23,30.87,0.0,0.0,13.69,90.63
base_ces,NJ,28.2,26.04,0.0,0.0,0.0,6.55,47.69,37.84,32.88,0.0,0.0,0.0,11.73,58.99,33.98,41.13,0.0,0.0,0.0,14.09,61.03
base_cesccstechret,NJ,28.28,25.05,0.0,0.0,0.0,6.45,46.88,37.23,32.69,0.0,0.0,0.0,13.23,56.7,27.1,41.76,71.11,0.0,0.0,16.97,123.0
base_cesincccstechinstate,NJ,28.29,25.04,0.0,0.0,0.0,6.43,46.9,37.26,32.24,0.0,0.0,0.0,13.21,56.29,30.39,40.47,35.67,0.0,0.0,19.11,87.42
lds_cesccstech,NJ,28.29,25.06,0.0,0.0,0.0,6.41,46.93,37.22,32.79,0.0,0.0,0.0,13.24,56.77,29.26,38.8,67.64,0.0,0.0,17.34,118.37
lds_cesccstechnuc45,NJ,28.37,22.03,0.0,0.0,0.0,6.26,44.13,37.55,29.36,0.0,0.01,0.0,12.89,54.03,30.18,34.28,65.79,0.05,0.0,16.49,113.8
lds_cesincccs,NJ,28.14,27.56,0.0,0.0,0.0,6.62,49.07,37.84,32.73,0.0,0.0,0.0,11.64,58.94,33.3,40.08,29.63,0.0,0.0,13.95,89.05
lds_base,NJ,28.18,26.15,0.0,0.0,0.0,6.55,47.78,37.82,32.81,0.0,0.0,0.0,11.63,59.01,33.95,41.29,0.0,0.0,0.0,14.07,61.18
lds_ces,NJ,28.39,20.0,0.0,0.0,0.0,6.2,42.19,38.21,29.77,0.0,0.01,0.0,10.47,57.52,34.33,40.83,0.0,0.05,0.0,13.69,61.52
lds_cesincccstech,NJ,28.28,25.06,0.0,0.0,0.0,6.42,46.92,37.23,32.69,0.0,0.0,0.0,13.22,56.7,32.82,40.26,30.69,0.01,0.0,15.89,87.88
lds_cesccstechnuc35,NJ,28.27,25.41,0.0,0.0,0.0,6.47,47.21,36.76,32.43,0.0,0.0,0.0,14.95,54.24,29.32,38.71,67.64,-0.0,0.0,17.57,118.1
lds_cesincccstechinstate,NJ,28.22,25.62,0.0,0.0,0.0,6.51,47.33,37.25,32.42,0.0,0.0,0.0,13.24,56.42,31.29,40.56,33.96,0.0,0.0,18.83,86.98
lds_cesccs,NJ,28.17,26.13,0.0,0.0,0.0,6.61,47.69,37.83,32.8,0.0,0.0,0.0,11.66,58.97,29.83,38.45,67.62,0.0,0.0,15.81,120.09
lds_cesinstate50,NJ,28.22,25.96,0.0,0.0,0.0,6.55,47.63,37.84,32.69,0.0,0.0,0.0,11.58,58.95,34.9,40.94,0.0,0.0,0.0,15.86,59.98
lds_cesccsret,NJ,28.51,18.9,0.0,0.0,0.0,6.27,41.14,38.03,30.26,0.0,0.0,0.0,10.45,57.84,29.63,39.66,62.5,0.0,0.0,14.89,116.9
highambition_cesinstate50,NJ,28.19,26.13,0.0,0.0,0.0,6.58,47.75,37.83,32.79,0.0,0.0,0.0,11.63,58.99,34.9,40.9,0.0,0.0,0.0,15.88,59.92
highambition_cesccstech,NJ,28.29,25.04,0.0,0.0,0.0,6.43,46.9,37.26,32.64,0.0,0.0,0.0,13.25,56.65,28.28,37.83,73.35,0.0,0.0,16.84,122.62
highambition_base,NJ,27.2,19.8,0.0,0.0,0.0,6.75,40.25,32.53,36.23,0.0,0.0,0.0,6.7,62.06,31.69,43.31,0.0,0.2,0.0,4.83,70.37
highambition_cesincccstechinstate,NJ,27.2,18.69,0.0,0.0,0.0,6.71,39.19,31.92,36.36,0.0,0.0,0.0,9.12,59.16,30.1,42.99,23.8,7.56,0.0,7.94,96.51
highambition_cesccstechret,NJ,28.23,25.65,0.0,0.0,0.0,6.54,47.34,37.21,32.77,0.0,0.0,0.0,13.26,56.73,27.1,41.75,71.1,0.0,0.0,17.02,122.92
highambition_ces,NJ,27.2,19.77,0.0,0.0,0.0,6.75,40.22,32.62,35.96,0.0,0.0,0.0,6.72,61.86,31.72,43.26,0.0,9.0,0.0,4.79,79.19
highambition_cesincccs,NJ,27.2,19.77,0.0,0.0,0.0,6.75,40.22,32.58,36.06,0.0,0.0,0.0,6.71,61.93,29.02,41.64,33.84,0.0,0.0,5.69,98.82
highambition_cesincccstech,NJ,27.2,18.69,0.0,0.0,0.0,6.71,39.19,31.83,36.83,0.0,0.0,0.0,9.09,59.56,30.4,43.14,0.85,7.82,0.0,7.59,74.61
highambition_cesinccsret,NJ,27.2,19.77,0.0,0.0,0.0,6.75,40.22,32.58,36.06,0.0,0.0,0.0,6.71,61.92,26.55,46.71,32.68,0.0,0.0,6.02,99.91
highambition_cesccstechnuc35,NJ,28.29,25.04,0.0,0.0,0.0,6.43,46.9,36.72,32.61,0.0,0.0,0.0,14.94,54.4,28.23,37.97,73.2,-0.0,0.0,16.92,122.49
highambition_cesccs,NJ,28.22,25.94,0.0,0.0,0.0,6.54,47.61,37.85,32.72,0.0,0.0,0.0,11.63,58.93,29.19,37.97,72.31,0.0,0.0,17.13,122.34
