Scenario,p1_mean_pct,p1_std_pct,p1_max_pct,p1_min_pct,p1_mean_mwh,p1_std_mwh,p2_mean_pct,p2_std_pct,p2_max_pct,p2_min_pct,p2_mean_mwh,p2_std_mwh,p3_mean_pct,p3_std_pct,p3_max_pct,p3_min_pct,p3_mean_mwh,p3_std_mwh
base,0.05318571428571429,0.0005273473599964615,0.053899999999999997,0.0523,1261441.7300000002,12629.767749749035,0.06907142857142855,0.0008788520651286834,0.0702,0.0682,1850244.3028571426,23206.18370582632,0.0663,0.0020273134932713268,0.0691,0.0643,2115019.947142857,64793.7823627207
batterieshigh,0.0531,0.0005099019513592786,0.053700000000000005,0.0525,1259901.1385714284,11746.236491985308,0.06837142857142857,0.0009499373412920188,0.0696,0.0672,1832619.2814285716,25059.501680650326,0.0653,0.0022568414506414338,0.0686,0.0629,2083297.7928571429,71679.25809581869
batterieslow,0.052599999999999994,0.0007615773105863945,0.053700000000000005,0.05159999999999999,1248020.19,18141.5332165871,0.07021428571428572,0.001093051647801658,0.0714,0.06899999999999999,1881351.3871428573,29335.79143976899,0.061442857142857146,0.0020015470207293325,0.0643,0.0598,1959903.8628571427,63781.40209102566
highambition,0.04808333333333333,0.005149919093215605,0.053399999999999996,0.0434,1140753.79,122756.7852054877,0.06868333333333333,0.0009347013783378414,0.06989999999999999,0.0675,1840483.8016666668,24368.449034059176,0.066,0.002853769437077918,0.0714,0.06359999999999999,2105672.7900000005,91190.45934315807
highdemand,0.06083333333333333,0.00028047578623950284,0.061200000000000004,0.0605,1587440.735,7997.275539021373,0.06655,0.00032093613071762267,0.0667,0.0659,1962536.8083333333,9265.716732085906,0.06738333333333334,0.00326460819497021,0.0731,0.0635,2365025.533333333,114546.52395455072
highestamb,0.053266666666666664,0.0005278888771954437,0.053899999999999997,0.0523,1263397.0683333334,12621.296166146212,0.06921666666666666,0.0008658329323066118,0.0702,0.0682,1854046.8283333331,22907.96967543868,0.07416666666666667,0.0018489636737012089,0.07690000000000001,0.0724,2366673.1166666667,58879.56516649143
highng,0.04071666666666667,0.00048751068364361744,0.0412,0.04,965693.0166666667,11855.028849725604,0.076,0.009361623790774761,0.0818,0.056999999999999995,2036372.985,251262.54748669936,0.0624,0.021240644999622776,0.0767,0.024800000000000003,1990683.8919999998,678151.0618264286
highnuclear,0.05333333333333334,0.0005955389715767262,0.053899999999999997,0.0525,1265432.4483333335,14087.243831042928,0.06878333333333332,0.0007678975626127918,0.0702,0.0682,1842948.1883333335,19982.83004145447,0.06798333333333333,0.00642445847263928,0.07529999999999999,0.06130000000000001,2169197.73,205269.24870114765
highsolar,0.056900000000000006,0.0006292853089020899,0.0577,0.0558,1350230.0766666667,15188.928478216889,0.06828333333333333,0.000679460570354646,0.0691,0.0674,1829833.3366666667,18257.824840913163,0.09909999999999998,0.0033740183757650154,0.1046,0.0952,3161458.0516666663,107290.12249145246
hightx,0.049671428571428575,0.0004608480795022941,0.0504,0.0491,1178583.9357142858,10612.830499129881,0.07987142857142857,0.000786795792469443,0.0813,0.07919999999999999,2140076.5171428574,21323.951759194606,0.06598571428571429,0.003696587873263927,0.07200000000000001,0.062299999999999994,2105122.544285714,118733.14119529356
lds,0.05564285714285715,0.007026582180751689,0.0714,0.052,1320400.7314285715,166947.1474759941,0.07164285714285715,0.005731450410631137,0.0844,0.0682,1919848.127142857,153020.7664042679,0.06648571428571429,0.004112350735458803,0.0723,0.06130000000000001,2120812.5085714287,131331.57211298964
lowambition,0.046283333333333336,0.0010107752800037548,0.047,0.0445,1097876.395,24407.970042243756,0.06791666666666667,0.0005564770136013378,0.06849999999999999,0.0669,1819352.298333333,14628.528933378626,0.06393333333333333,0.0026993826454703787,0.0692,0.0616,2039657.843333333,85555.56623339019
lowdemand,0.03846666666666667,0.0006531972647421797,0.0398,0.038200000000000005,820906.5383333334,13756.312861223292,0.06703333333333335,0.0005163977794943211,0.0674,0.0661,1616723.13,12565.724213460946,0.06803333333333333,0.002338090388900021,0.0707,0.0651,1953958.5650000002,67520.88905875508
lowng,0.061016666666666663,0.0007626707459098392,0.061700000000000005,0.0598,1447673.455,17576.464174319837,0.06888333333333334,0.004780550874812096,0.0713,0.059199999999999996,1846336.7916666667,127930.1542917938,0.06785000000000001,0.006868114734044562,0.0799,0.0606,2164951.8516666666,219048.48692515516
lownuclear,0.05298333333333333,0.0002786873995477113,0.053399999999999996,0.0526,1257079.5816666668,6643.4017491204995,0.07010000000000001,0.00010954451150103636,0.0703,0.06999999999999999,1878169.3033333335,3254.4483106951625,0.06319999999999999,0.0014696938456699056,0.0649,0.061399999999999996,2017112.5383333333,46845.989115100725
lowsolar,0.04120000000000001,8.944271909999105e-05,0.0413,0.041100000000000005,977975.9816666666,2334.7342697824474,0.06758333333333333,0.0010381072520056222,0.0697,0.0671,1810818.6016666666,28055.430985353578,0.04443333333333333,0.002883516371839539,0.0494,0.0413,1417033.7233333334,92814.54009321376
