CaseName,Zone,Minor_Techs_p0,Hydropower_p0,Existing_Nuclear_p0,New_Nuclear_p0,Coal_p0,Solar_p0,Wind_p0,Natural_Gas_p0,Battery_Power_p0,Battery_Energy_p0,Minor_Techs_p1,Hydropower_p1,Existing_Nuclear_p1,New_Nuclear_p1,Coal_p1,Solar_p1,Wind_p1,Natural_Gas_p1,Battery_Power_p1,Battery_Energy_p1,Minor_Techs_p2,Hydropower_p2,Existing_Nuclear_p2,New_Nuclear_p2,Coal_p2,Solar_p2,Wind_p2,Natural_Gas_p2,Battery_Power_p2,Battery_Energy_p2,Minor_Techs_p3,Hydropower_p3,Existing_Nuclear_p3,New_Nuclear_p3,Coal_p3,Solar_p3,Wind_p3,Natural_Gas_p3,Battery_Power_p3,Battery_Energy_p3
highestamb_base,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.56,0.0,3993.76,25.58,11519.09,2001.88,4414.3,113.4,9.9,3456.7,0.57,0.0,4231.77,1778.83,11519.06,2001.89,8260.66,113.4,9.9,3456.7,18362.43,0.0,4580.8,2754.14,7307.83,5090.99,24988.19
highestamb_ces,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.49,0.0,3972.38,26.21,11517.4,2024.82,4335.02,113.4,9.9,3456.7,0.5,0.0,4210.41,1791.36,11517.26,2025.07,8044.3,113.4,9.9,3456.7,18358.81,0.0,4559.59,2749.52,7265.67,5332.79,26163.95
highestamb_cesccs,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.49,0.0,3972.38,26.21,11517.4,2024.82,4335.02,113.4,9.9,3456.7,0.5,0.0,4210.41,1791.36,11517.26,2025.07,8044.3,113.4,9.9,3456.7,26309.77,0.0,4563.27,2776.83,184.96,6730.59,33005.61
highestamb_cesccstech,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.54,0.0,3976.44,26.82,11520.45,3002.65,5480.49,113.4,9.9,3456.7,2.47,0.0,13250.55,1497.66,11529.6,6000.2,20758.69,113.4,9.9,3456.7,25191.7,0.0,17599.3,2774.32,338.66,9211.03,49014.13
highestamb_cesccstechnuc35,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.54,0.0,3976.44,26.82,11520.45,3002.65,5480.49,113.4,9.9,3456.7,1200.1,0.0,13250.19,1414.42,11520.46,6000.2,21618.73,113.4,9.9,3456.7,25529.5,0.0,17599.1,2770.35,180.96,8577.95,46051.49
highestamb_cesccstechnuc45,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.54,0.0,3976.44,26.82,11520.45,3002.65,5480.49,113.4,9.9,3456.7,2.47,0.0,13250.55,1497.66,11529.6,6000.2,20758.69,113.4,9.9,3456.7,25200.83,0.0,17599.2,2757.85,228.06,9270.66,49216.37
highestamb_cesccstechret,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.4,0.0,3966.26,27.12,11531.63,3000.04,5663.2,113.4,9.9,3456.7,0.41,0.0,13251.34,1752.98,11531.98,6000.08,21835.94,113.4,9.9,3456.7,25188.05,0.0,17599.68,2775.86,0.0,9478.53,50947.41
highestamb_cesincccstech,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.54,0.0,3976.44,26.82,11520.45,3002.65,5480.49,113.4,9.9,3456.7,2.47,0.0,13250.55,1497.66,11529.6,6000.2,20758.69,113.4,9.9,3456.7,25062.75,0.0,17599.27,2751.21,194.22,8577.57,48726.03
highestamb_cesincccstechinstate,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.54,0.0,3976.44,26.82,11520.45,3002.65,5480.49,113.4,9.9,3456.7,0.6,0.0,13250.06,1666.74,11520.57,6000.03,21839.84,113.4,9.9,3456.7,80592.79,0.0,31679.77,14682.55,153.88,14913.59,64726.11
highestamb_cesinstate50,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.31,0.0,3972.28,21.01,11513.04,2016.68,4393.64,113.4,9.9,3456.7,0.32,0.0,4210.3,1881.33,11513.39,2016.69,8371.07,113.4,9.9,3456.7,26036.71,0.0,4560.06,2766.5,154.22,6500.71,29918.45
