CaseName,Zone,Maximum_NJ_Load_p1,Total_NJ_Load_p1,Total_System_Emissions_p1,Total_NJ_Emissions_p1,Total_RGGI_Emissions_p1,Maximum_NJ_Load_p2,Total_NJ_Load_p2,Total_System_Emissions_p2,Total_NJ_Emissions_p2,Total_RGGI_Emissions_p2,Maximum_NJ_Load_p3,Total_NJ_Load_p3,Total_System_Emissions_p3,Total_NJ_Emissions_p3,Total_RGGI_Emissions_p3
highestamb_base,NJ,20382.0,92732512.43,691620125.34,324142.38,34519401.72,21589.0,105710292.57,848701812.51,28019.78,13802100.88,28265.0,130848050.0,691899954.67,76654.74,9877175.99
highestamb_ces,NJ,20382.0,92732512.43,691669621.99,331174.36,34527988.57,21589.0,105710292.57,848805687.46,28180.76,13802823.42,28265.0,130848050.0,691283587.27,59171.47,9759991.63
highestamb_cesccs,NJ,20382.0,92732512.43,691669621.99,331174.36,34527988.57,21589.0,105710292.57,848805687.46,28180.76,13802823.42,28265.0,130848050.0,680180692.22,81182.61,9664171.47
highestamb_cesccstech,NJ,20382.0,92732512.43,691685145.35,348348.99,34658394.04,21589.0,105710292.57,843263109.82,67205.93,13801831.78,28265.0,130848050.0,680560651.77,102608.01,9843429.71
highestamb_cesccstechnuc35,NJ,20382.0,92732512.43,691685145.35,348348.99,34658394.04,21589.0,105710292.57,838790315.45,42592.35,13805756.69,28265.0,130848050.0,681061560.01,77321.15,9662807.43
highestamb_cesccstechnuc45,NJ,20382.0,92732512.43,691685145.35,348348.99,34658394.04,21589.0,105710292.57,843263109.82,67205.93,13801831.78,28265.0,130848050.0,680017105.18,63359.55,9587173.65
highestamb_cesccstechret,NJ,20382.0,92732512.43,691159626.43,327420.32,34600549.56,21589.0,105710292.57,842344322.46,34469.48,13800122.37,28265.0,130848050.0,679907799.65,4054.32,9572249.73
highestamb_cesincccstech,NJ,20382.0,92732512.43,691685145.35,348348.99,34658394.04,21589.0,105710292.57,843263109.82,67205.93,13801831.78,28265.0,130848050.0,679938376.65,58886.98,9531934.45
highestamb_cesincccstechinstate,NJ,20382.0,92732512.43,691685145.35,348348.99,34658394.04,21589.0,105710292.57,842379431.89,29001.18,13801334.35,28265.0,130848050.0,750667690.38,70379.9,9912253.26
highestamb_cesinstate50,NJ,20382.0,92732512.43,691387144.75,284589.2,34465061.78,21589.0,105710292.57,848560165.96,26205.12,13802044.22,28265.0,130848050.0,684721149.24,61447.89,14856386.22
