CaseName,Zone,Energy_Price_p1,PJM_Capacity_Price_p1,NJ_Clean_Capacity_Price_p1,EAC_Price_p1,MinCap_Price_p1,Total_Price_p1,Energy_Price_p2,PJM_Capacity_Price_p2,NJ_Clean_Capacity_Price_p2,EAC_Price_p2,MinCap_Price_p2,Total_Price_p2,Energy_Price_p3,PJM_Capacity_Price_p3,NJ_Clean_Capacity_Price_p3,EAC_Price_p3,MinCap_Price_p3,Total_Price_p3
highestamb_base,NJ,26,66,0,1.01,0,93.01,33,53,0.0,0.0,0,86.0,18,5,0.0,0.0,0,23.0
highestamb_ces,NJ,26,66,0,0.98,0,92.98,33,53,0.0,0.0,0,86.0,18,5,0.0,0.0,0,23.0
highestamb_cesccs,NJ,26,66,0,0.98,0,92.98,33,53,0.0,0.0,0,86.0,11,0,282.11,0.01,0,293.11
highestamb_cesccstech,NJ,26,66,0,0.99,0,92.99,33,52,0.0,0.0,0,85.0,11,0,281.41,0.0,0,292.41
highestamb_cesccstechnuc35,NJ,26,66,0,0.99,0,92.99,33,52,0.0,0.0,0,85.0,11,0,281.37,0.0,0,292.37
highestamb_cesccstechnuc45,NJ,26,66,0,0.99,0,92.99,33,52,0.0,0.0,0,85.0,11,0,281.41,0.0,0,292.41
highestamb_cesccstechret,NJ,26,66,0,1.04,0,93.04,33,52,0.0,0.0,0,85.0,11,0,281.42,0.0,0,292.42
highestamb_cesincccstech,NJ,26,66,0,0.99,0,92.99,33,52,0.0,0.0,0,85.0,11,0,165.23,0.0,0,176.23
highestamb_cesincccstechinstate,NJ,26,66,0,0.99,0,92.99,33,52,0.0,0.0,0,85.0,10,0,169.06,0.0,0,179.06
highestamb_cesinstate50,NJ,26,66,0,1.04,0,93.04,33,53,0.0,0.0,0,86.0,11,0,282.1,0.0,0,293.1
