CaseName,Zone,Maximum_NJ_Load_p1,Total_NJ_Load_p1,Total_System_Emissions_p1,Total_NJ_Emissions_p1,Total_RGGI_Emissions_p1,Maximum_NJ_Load_p2,Total_NJ_Load_p2,Total_System_Emissions_p2,Total_NJ_Emissions_p2,Total_RGGI_Emissions_p2,Maximum_NJ_Load_p3,Total_NJ_Load_p3,Total_System_Emissions_p3,Total_NJ_Emissions_p3,Total_RGGI_Emissions_p3
highambition_base,NJ,20382.0,92732512.43,675164869.9,360620.29,16339396.2,21589.0,105710292.57,812070973.88,350964.76,13355101.96,28265.0,130848050.0,835891552.19,538400.07,9003858.09
highambition_ces,NJ,20382.0,92732512.43,674793154.25,376918.01,16283232.71,21589.0,105710292.57,812734625.41,331709.79,13268206.51,28265.0,130848050.0,823695552.54,478070.47,9000669.28
highambition_cesccs,NJ,20382.0,92732512.43,674793154.25,376918.01,16283232.71,21589.0,105710292.57,812734625.41,331709.79,13268206.51,28265.0,130848050.0,690836350.24,249155.37,7640884.53
highambition_cesccstech,NJ,20382.0,92732512.43,675162154.87,400778.64,16335836.16,21589.0,105710292.57,804730703.21,80392.56,12494235.52,28265.0,130848050.0,688728820.99,97799.72,7274144.73
highambition_cesccstechnuc35,NJ,20382.0,92732512.43,675162154.87,400778.64,16335836.16,21589.0,105710292.57,799785766.02,82270.46,12237341.06,28265.0,130848050.0,687331866.78,103290.53,7261786.31
highambition_cesccstechnuc45,NJ,20382.0,92732512.43,675162154.87,400778.64,16335836.16,21589.0,105710292.57,804730703.21,80392.56,12494235.52,28265.0,130848050.0,690286905.56,160435.13,7542769.03
highambition_cesccstechret,NJ,20382.0,92732512.43,675050766.34,365369.03,16475454.49,21589.0,105710292.57,804292182.52,148891.05,12716089.24,28265.0,130848050.0,681235644.91,512.35,6701789.21
highambition_cesincccstech,NJ,20382.0,92732512.43,675162154.87,400778.64,16335836.16,21589.0,105710292.57,804730703.21,80392.56,12494235.52,28265.0,130848050.0,738807507.35,249979.14,8768154.51
highambition_cesincccstechinstate,NJ,20382.0,92732512.43,674968435.8,338764.75,16194899.45,21589.0,105710292.57,804352716.45,227022.42,12818567.36,28265.0,130848050.0,754738496.31,230589.12,7611346.59
highambition_cesinstate50,NJ,20382.0,92732512.43,674238389.15,368765.63,16203044.52,21589.0,105710292.57,812378675.09,328816.7,13310258.08,28265.0,130848050.0,845562168.29,219112.6,9001675.24
