CaseName,Zone,Minor_Techs_p0,Hydropower_p0,Existing_Nuclear_p0,New_Nuclear_p0,Coal_p0,Solar_p0,Wind_p0,Natural_Gas_p0,Battery_Power_p0,Battery_Energy_p0,Minor_Techs_p1,Hydropower_p1,Existing_Nuclear_p1,New_Nuclear_p1,Coal_p1,Solar_p1,Wind_p1,Natural_Gas_p1,Battery_Power_p1,Battery_Energy_p1,Minor_Techs_p2,Hydropower_p2,Existing_Nuclear_p2,New_Nuclear_p2,Coal_p2,Solar_p2,Wind_p2,Natural_Gas_p2,Battery_Power_p2,Battery_Energy_p2,Minor_Techs_p3,Hydropower_p3,Existing_Nuclear_p3,New_Nuclear_p3,Coal_p3,Solar_p3,Wind_p3,Natural_Gas_p3,Battery_Power_p3,Battery_Energy_p3
highdemand_base,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.8,0.0,8266.66,31.61,11557.43,2083.03,6174.86,113.4,9.9,3456.7,0.82,0.0,8505.19,2700.5,11557.57,2082.91,8398.64,113.4,9.9,3456.7,8.06,0.0,8854.39,2739.93,11702.34,4775.49,18762.68
highdemand_ces,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.06,0.0,9002.87,9.14,11493.73,4615.37,12462.04,113.4,9.9,3456.7,2.95,0.0,9241.73,2097.46,11543.99,3850.64,12481.91,113.4,9.9,3456.7,7.33,0.0,9593.72,2737.92,11687.64,4892.55,19392.39
highdemand_cesccs,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.06,0.0,9002.87,9.14,11493.73,4615.37,12462.04,113.4,9.9,3456.7,2.95,0.0,9241.73,2097.46,11543.99,3850.64,12481.91,113.4,9.9,3456.7,17737.19,0.0,9590.8,2735.06,11541.55,7095.33,41751.37
highdemand_cesccstech,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.14,0.0,8889.55,13.96,11501.63,3582.82,10204.82,113.4,9.9,3456.7,3.62,0.0,13250.6,1715.64,11552.46,6000.39,17825.4,113.4,9.9,3456.7,16635.13,0.0,17599.27,2753.66,11556.75,6779.22,44981.64
highdemand_cesccstechnuc35,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.14,0.0,8889.55,13.96,11501.63,3582.82,10204.82,113.4,9.9,3456.7,1202.26,0.0,13250.78,1609.81,11563.53,6000.19,17007.55,113.4,9.9,3456.7,16390.38,0.0,17599.02,2746.5,11560.36,7525.81,46793.25
highdemand_cesccstechnuc45,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.14,0.0,8889.55,13.96,11501.63,3582.82,10204.82,113.4,9.9,3456.7,3.62,0.0,13250.6,1715.64,11552.46,6000.39,17825.4,113.4,9.9,3456.7,16614.7,0.0,17599.01,2754.33,11550.08,6575.65,43539.41
highdemand_cesccstechret,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.3,0.0,8785.58,12.29,11516.67,3777.78,10670.44,113.4,9.9,3456.7,2.82,0.0,13250.36,2067.77,11551.49,6000.76,18131.69,113.4,9.9,3456.7,16590.73,0.0,17599.05,2735.44,0.0,9522.86,51418.24
highdemand_cesincccstech,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.14,0.0,8889.55,13.96,11501.63,3582.82,10204.82,113.4,9.9,3456.7,3.62,0.0,13250.6,1715.64,11552.46,6000.39,17825.4,113.4,9.9,3456.7,14240.52,0.0,17599.2,2759.42,11608.5,9850.19,49470.21
highdemand_cesincccstechinstate,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.14,0.0,8889.55,13.96,11501.63,3582.82,10204.82,113.4,9.9,3456.7,0.24,0.0,13250.04,2071.56,11501.81,6000.49,18749.98,113.4,9.9,3456.7,26793.12,0.0,17599.09,4709.15,11602.09,8672.25,48851.02
highdemand_cesinstate50,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.12,0.0,8981.46,8.64,11496.23,4407.05,12130.03,113.4,9.9,3456.7,4.32,0.0,9220.01,1920.41,11563.62,3743.29,12205.97,113.4,9.9,3456.7,8.46,0.0,9571.78,2737.54,11680.06,4999.6,20546.15
