CaseName,Zone,Maximum_NJ_Load_p1,Total_NJ_Load_p1,Total_System_Emissions_p1,Total_NJ_Emissions_p1,Total_RGGI_Emissions_p1,Maximum_NJ_Load_p2,Total_NJ_Load_p2,Total_System_Emissions_p2,Total_NJ_Emissions_p2,Total_RGGI_Emissions_p2,Maximum_NJ_Load_p3,Total_NJ_Load_p3,Total_System_Emissions_p3,Total_NJ_Emissions_p3,Total_RGGI_Emissions_p3
highdemand_base,NJ,22420.2,102005763.67,777757097.94,566816.55,39993320.57,23747.9,116281321.83,908674014.32,38342.72,16229457.13,31091.5,143932855.0,955943683.82,113436.87,13820277.05
highdemand_ces,NJ,22420.2,102005763.67,772714291.85,83755.53,38740195.18,23747.9,116281321.83,912443275.43,64222.83,16513011.63,31091.5,143932855.0,955040333.68,119049.73,13842395.96
highdemand_cesccs,NJ,22420.2,102005763.67,772714291.85,83755.53,38740195.18,23747.9,116281321.83,912443275.43,64222.83,16513011.63,31091.5,143932855.0,784111268.72,16380.46,12485249.66
highdemand_cesccstech,NJ,22420.2,102005763.67,774376152.84,173305.34,39004114.56,23747.9,116281321.83,909507583.86,76788.53,16567518.66,31091.5,143932855.0,786525769.73,91368.71,12788678.77
highdemand_cesccstechnuc35,NJ,22420.2,102005763.67,774376152.84,173305.34,39004114.56,23747.9,116281321.83,905737710.31,89246.59,16625560.71,31091.5,143932855.0,785945856.52,69323.72,12669280.67
highdemand_cesccstechnuc45,NJ,22420.2,102005763.67,774376152.84,173305.34,39004114.56,23747.9,116281321.83,909507583.86,76788.53,16567518.66,31091.5,143932855.0,787118792.87,89404.5,12763196.52
highdemand_cesccstechret,NJ,22420.2,102005763.67,772893256.38,178130.0,38913279.94,23747.9,116281321.83,909350838.45,95261.94,16719825.55,31091.5,143932855.0,782424349.38,335.86,11918242.87
highdemand_cesincccstech,NJ,22420.2,102005763.67,774376152.84,173305.34,39004114.56,23747.9,116281321.83,909507583.86,76788.53,16567518.66,31091.5,143932855.0,852011033.22,117596.42,13488637.11
highdemand_cesincccstechinstate,NJ,22420.2,102005763.67,774376152.84,173305.34,39004114.56,23747.9,116281321.83,906987181.0,19062.65,16207402.39,31091.5,143932855.0,860728254.96,100992.94,13298746.87
highdemand_cesinstate50,NJ,22420.2,102005763.67,772440598.23,89219.48,38736835.13,23747.9,116281321.83,912775861.53,87464.97,16608452.28,31091.5,143932855.0,969227201.13,115823.36,21703171.1
