CaseName,Zone,Energy_Price_p1,PJM_Capacity_Price_p1,NJ_Clean_Capacity_Price_p1,EAC_Price_p1,MinCap_Price_p1,Total_Price_p1,Energy_Price_p2,PJM_Capacity_Price_p2,NJ_Clean_Capacity_Price_p2,EAC_Price_p2,MinCap_Price_p2,Total_Price_p2,Energy_Price_p3,PJM_Capacity_Price_p3,NJ_Clean_Capacity_Price_p3,EAC_Price_p3,MinCap_Price_p3,Total_Price_p3
highdemand_base,NJ,26,69,0,0.03,0,95.03,33,53,0.0,0.0,0,86.0,29,57,0.0,0.18,0,86.18
highdemand_ces,NJ,26,69,0,0.04,0,95.04,33,53,0.0,0.0,0,86.0,29,57,0.0,0.0,0,86.0
highdemand_cesccs,NJ,26,69,0,0.04,0,95.04,33,53,0.0,0.0,0,86.0,22,24,206.01,0.0,0,252.01
highdemand_cesccstech,NJ,26,69,0,0.07,0,95.07,33,53,0.0,0.0,0,86.0,21,30,194.74,0.03,0,245.77
highdemand_cesccstechnuc35,NJ,26,69,0,0.07,0,95.07,33,53,0.0,0.0,0,86.0,21,40,177.97,0.0,0,238.97
highdemand_cesccstechnuc45,NJ,26,69,0,0.07,0,95.07,33,53,0.0,0.0,0,86.0,21,30,195.89,0.03,0,246.93
highdemand_cesccstechret,NJ,26,69,0,0.0,0,95.0,33,53,0.0,0.0,0,86.0,21,50,164.96,0.0,0,235.96
highdemand_cesincccstech,NJ,26,69,0,0.07,0,95.07,33,53,0.0,0.0,0,86.0,25,53,84.2,0.0,0,162.2
highdemand_cesincccstechinstate,NJ,26,69,0,0.07,0,95.07,32,53,0.0,0.0,0,85.0,24,53,88.51,0.0,0,165.51
highdemand_cesinstate50,NJ,26,69,0,0.01,0,95.01,33,53,0.0,0.0,0,86.0,30,57,0.0,0.01,0,87.01
