CaseName,Zone,Minor_Techs_p0,Hydropower_p0,Existing_Nuclear_p0,New_Nuclear_p0,Coal_p0,Solar_p0,Wind_p0,Natural_Gas_p0,Battery_Power_p0,Battery_Energy_p0,Minor_Techs_p1,Hydropower_p1,Existing_Nuclear_p1,New_Nuclear_p1,Coal_p1,Solar_p1,Wind_p1,Natural_Gas_p1,Battery_Power_p1,Battery_Energy_p1,Minor_Techs_p2,Hydropower_p2,Existing_Nuclear_p2,New_Nuclear_p2,Coal_p2,Solar_p2,Wind_p2,Natural_Gas_p2,Battery_Power_p2,Battery_Energy_p2,Minor_Techs_p3,Hydropower_p3,Existing_Nuclear_p3,New_Nuclear_p3,Coal_p3,Solar_p3,Wind_p3,Natural_Gas_p3,Battery_Power_p3,Battery_Energy_p3
highng_base,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.05,0.0,10955.1,1381.62,11491.25,4300.67,14768.53,113.4,9.9,3456.7,0.21,0.0,11193.32,1383.98,11502.89,4220.92,14768.84,113.4,9.9,3456.7,1.86,0.0,11542.84,2733.04,11523.63,6913.19,29106.64
highng_ces,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.33,0.0,10687.86,1385.05,11513.57,3017.49,10696.33,113.4,9.9,3456.7,0.36,0.0,10925.87,1385.88,11514.09,3015.35,10696.41,113.4,9.9,3456.7,5.3,0.0,11275.77,2737.35,11592.92,5986.49,25742.76
highng_cesccs,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.33,0.0,10687.86,1385.05,11513.57,3017.49,10696.33,113.4,9.9,3456.7,0.36,0.0,10925.87,1385.88,11514.09,3015.35,10696.41,113.4,9.9,3456.7,16486.95,0.0,11275.13,2749.66,11535.31,5424.97,37412.28
highng_cesccstech,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.38,0.0,10685.0,1384.94,11515.01,3001.43,10561.97,113.4,9.9,3456.7,0.38,0.0,13250.0,1386.04,11514.97,6000.18,12266.97,113.4,9.9,3456.7,15421.71,0.0,17599.14,2749.29,11548.24,6265.62,42693.13
highng_cesccstechnuc35,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.38,0.0,10685.0,1384.94,11515.01,3001.43,10561.97,113.4,9.9,3456.7,1200.02,0.0,13250.0,1385.89,11514.97,6000.08,12276.57,113.4,9.9,3456.7,15041.63,0.0,17599.07,2750.09,11530.39,7060.94,45825.91
highng_cesccstechnuc45,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.38,0.0,10685.0,1384.94,11515.01,3001.43,10561.97,113.4,9.9,3456.7,0.38,0.0,13250.0,1386.04,11514.97,6000.18,12266.97,113.4,9.9,3456.7,15396.71,0.0,17599.03,2748.04,11540.43,6321.49,43000.65
highng_cesccstechret,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.05,0.0,10954.04,1381.62,11492.17,4380.02,14965.74,113.4,9.9,3456.7,0.16,0.0,13250.0,1383.47,11497.02,6000.01,15919.04,113.4,9.9,3456.7,15358.76,0.0,17599.09,2749.48,-0.0,8747.99,48115.99
highng_cesincccstech,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.38,0.0,10685.0,1384.94,11515.01,3001.43,10561.97,113.4,9.9,3456.7,0.38,0.0,13250.0,1386.04,11514.97,6000.18,12266.97,113.4,9.9,3456.7,12642.33,0.0,17599.17,2752.56,11587.09,9896.98,54677.02
highng_cesincccstechinstate,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.38,0.0,10685.0,1384.94,11515.01,3001.43,10561.97,113.4,9.9,3456.7,0.4,0.0,13250.0,1386.02,11516.19,6000.01,12212.57,113.4,9.9,3456.7,24024.68,0.0,17599.01,4798.99,11525.86,8524.65,45512.54
highng_cesinstate50,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.04,0.0,10955.08,1381.74,11491.1,4237.49,14603.07,113.4,9.9,3456.7,0.26,0.0,11193.17,1384.04,11492.76,4188.13,14603.1,113.4,9.9,3456.7,4.79,0.0,11545.15,2737.11,11576.22,6523.57,28666.79
