CaseName,Zone,Maximum_NJ_Load_p1,Total_NJ_Load_p1,Total_System_Emissions_p1,Total_NJ_Emissions_p1,Total_RGGI_Emissions_p1,Maximum_NJ_Load_p2,Total_NJ_Load_p2,Total_System_Emissions_p2,Total_NJ_Emissions_p2,Total_RGGI_Emissions_p2,Maximum_NJ_Load_p3,Total_NJ_Load_p3,Total_System_Emissions_p3,Total_NJ_Emissions_p3,Total_RGGI_Emissions_p3
highng_base,NJ,20382.0,92732512.43,888990069.0,30071.49,28609089.38,21589.0,105710292.57,853852915.98,25915.12,13800332.85,28265.0,130848050.0,997180254.96,51058.29,11147187.0
highng_ces,NJ,20382.0,92732512.43,888960414.18,100003.07,28950431.47,21589.0,105710292.57,853982353.24,29408.75,13800256.33,28265.0,130848050.0,997611538.93,95959.16,11285486.3
highng_cesccs,NJ,20382.0,92732512.43,888960414.18,100003.07,28950431.47,21589.0,105710292.57,853982353.24,29408.75,13800256.33,28265.0,130848050.0,874048458.99,75992.79,9953366.38
highng_cesccstech,NJ,20382.0,92732512.43,889018291.8,103296.13,28923957.17,21589.0,105710292.57,852215908.21,29122.17,13800485.92,28265.0,130848050.0,874496113.5,73062.11,9917615.85
highng_cesccstechnuc35,NJ,20382.0,92732512.43,889018291.8,103296.13,28923957.17,21589.0,105710292.57,848850831.97,28824.53,13800591.38,28265.0,130848050.0,874834119.07,78116.61,9954681.53
highng_cesccstechnuc45,NJ,20382.0,92732512.43,889018291.8,103296.13,28923957.17,21589.0,105710292.57,852215908.21,29122.17,13800485.92,28265.0,130848050.0,874205950.31,73327.11,9917778.76
highng_cesccstechret,NJ,20382.0,92732512.43,888979483.28,30253.43,28605808.57,21589.0,105710292.57,852493457.85,21112.85,13800565.83,28265.0,130848050.0,867852549.13,2116.96,9754447.97
highng_cesincccstech,NJ,20382.0,92732512.43,889018291.8,103296.13,28923957.17,21589.0,105710292.57,852215908.21,29122.17,13800485.92,28265.0,130848050.0,917784170.94,79514.38,10443072.0
highng_cesincccstechinstate,NJ,20382.0,92732512.43,889018291.8,103296.13,28923957.17,21589.0,105710292.57,852250875.39,29666.42,13800163.66,28265.0,130848050.0,921851975.23,50297.22,10214827.69
highng_cesinstate50,NJ,20382.0,92732512.43,888985190.59,29413.88,28612874.5,21589.0,105710292.57,853847783.69,16613.98,13800288.17,28265.0,130848050.0,1007353238.85,94875.67,16239568.45
