CaseName,Zone,Energy_Price_p1,PJM_Capacity_Price_p1,NJ_Clean_Capacity_Price_p1,EAC_Price_p1,MinCap_Price_p1,Total_Price_p1,Energy_Price_p2,PJM_Capacity_Price_p2,NJ_Clean_Capacity_Price_p2,EAC_Price_p2,MinCap_Price_p2,Total_Price_p2,Energy_Price_p3,PJM_Capacity_Price_p3,NJ_Clean_Capacity_Price_p3,EAC_Price_p3,MinCap_Price_p3,Total_Price_p3
highng_base,NJ,41,64,0,0.0,0,105.0,34,51,0.0,0.0,0,85.0,30,56,0.0,0.01,0,86.01
highng_ces,NJ,41,63,0,0.01,0,104.01,34,51,0.0,0.0,0,85.0,30,56,0.0,0.0,0,86.0
highng_cesccs,NJ,41,63,0,0.01,0,104.01,34,51,0.0,0.0,0,85.0,21,40,180.93,0.0,0,241.93
highng_cesccstech,NJ,41,63,0,0.01,0,104.01,34,51,0.0,0.0,1,86.0,21,40,180.34,0.01,0,241.35
highng_cesccstechnuc35,NJ,41,63,0,0.01,0,104.01,34,51,0.0,0.0,1,86.0,20,42,178.78,0.0,0,240.79
highng_cesccstechnuc45,NJ,41,63,0,0.01,0,104.01,34,51,0.0,0.0,1,86.0,21,41,180.27,0.01,0,242.29
highng_cesccstechret,NJ,41,64,0,0.0,0,105.0,34,51,0.0,0.0,1,86.0,19,50,169.36,0.0,0,238.36
highng_cesincccstech,NJ,41,63,0,0.01,0,104.01,34,51,0.0,0.0,1,86.0,25,53,84.97,0.0,0,162.97
highng_cesincccstechinstate,NJ,41,63,0,0.01,0,104.01,34,51,0.0,0.0,1,86.0,24,53,88.66,0.0,0,165.66
highng_cesinstate50,NJ,41,64,0,0.0,0,105.0,34,51,0.0,0.0,0,85.0,31,55,0.0,0.0,0,86.0
