CaseName,Zone,Maximum_NJ_Load_p1,Total_NJ_Load_p1,Total_System_Emissions_p1,Total_NJ_Emissions_p1,Total_RGGI_Emissions_p1,Maximum_NJ_Load_p2,Total_NJ_Load_p2,Total_System_Emissions_p2,Total_NJ_Emissions_p2,Total_RGGI_Emissions_p2,Maximum_NJ_Load_p3,Total_NJ_Load_p3,Total_System_Emissions_p3,Total_NJ_Emissions_p3,Total_RGGI_Emissions_p3
highnuclear_base,NJ,20382.0,92732512.43,691620125.34,324142.38,34519401.72,21589.0,105710292.57,848701812.51,28019.78,13802100.88,28265.0,130848050.0,886166767.45,89926.07,11654133.56
highnuclear_ces,NJ,20382.0,92732512.43,691669621.99,331174.36,34527988.57,21589.0,105710292.57,848805687.46,28180.76,13802823.42,28265.0,130848050.0,886324462.8,107267.02,11730641.56
highnuclear_cesccs,NJ,20382.0,92732512.43,691669621.99,331174.36,34527988.57,21589.0,105710292.57,848805687.46,28180.76,13802823.42,28265.0,130848050.0,726604043.87,92579.32,10381722.25
highnuclear_cesccstech,NJ,20382.0,92732512.43,691685145.35,348348.99,34658394.04,21589.0,105710292.57,843263109.82,67205.93,13801831.78,28265.0,130848050.0,725857679.89,70376.31,10121027.42
highnuclear_cesccstechnuc35,NJ,20382.0,92732512.43,691685145.35,348348.99,34658394.04,21589.0,105710292.57,838790315.45,42592.35,13805756.69,28265.0,130848050.0,724111779.61,53316.54,10008379.55
highnuclear_cesccstechnuc45,NJ,20382.0,92732512.43,691685145.35,348348.99,34658394.04,21589.0,105710292.57,843263109.82,67205.93,13801831.78,28265.0,130848050.0,724306333.56,43786.09,9962501.62
highnuclear_cesccstechret,NJ,20382.0,92732512.43,691159626.43,327420.32,34600549.56,21589.0,105710292.57,842344322.46,34469.48,13800122.37,28265.0,130848050.0,722949095.83,1830.5,9927608.65
highnuclear_cesincccstech,NJ,20382.0,92732512.43,691685145.35,348348.99,34658394.04,21589.0,105710292.57,843263109.82,67205.93,13801831.78,28265.0,130848050.0,787471362.91,91676.12,10837873.52
highnuclear_cesincccstechinstate,NJ,20382.0,92732512.43,691685145.35,348348.99,34658394.04,21589.0,105710292.57,842379431.89,29001.18,13801334.35,28265.0,130848050.0,796851666.35,93101.19,10677372.51
highnuclear_cesinstate50,NJ,20382.0,92732512.43,688942598.2,45840.69,33667905.83,21589.0,105710292.57,848518076.42,16167.82,13800196.03,28265.0,130848050.0,895697537.15,101096.54,16744699.34
