CaseName,Zone,Minor_Techs_p0,Hydropower_p0,Existing_Nuclear_p0,New_Nuclear_p0,Coal_p0,Solar_p0,Wind_p0,Natural_Gas_p0,Battery_Power_p0,Battery_Energy_p0,Minor_Techs_p1,Hydropower_p1,Existing_Nuclear_p1,New_Nuclear_p1,Coal_p1,Solar_p1,Wind_p1,Natural_Gas_p1,Battery_Power_p1,Battery_Energy_p1,Minor_Techs_p2,Hydropower_p2,Existing_Nuclear_p2,New_Nuclear_p2,Coal_p2,Solar_p2,Wind_p2,Natural_Gas_p2,Battery_Power_p2,Battery_Energy_p2,Minor_Techs_p3,Hydropower_p3,Existing_Nuclear_p3,New_Nuclear_p3,Coal_p3,Solar_p3,Wind_p3,Natural_Gas_p3,Battery_Power_p3,Battery_Energy_p3
lowambition_base,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.44,0.0,6734.27,21.92,11514.52,2003.82,4399.79,113.4,9.9,3456.7,0.47,0.0,6972.29,1385.5,11514.6,2003.87,8454.85,113.4,9.9,3456.7,4.98,0.0,7321.46,2738.31,11569.62,2169.94,8244.35
lowambition_ces,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.36,0.0,6924.99,25.75,11508.73,2008.68,4931.28,113.4,9.9,3456.7,0.36,0.0,7163.0,1386.29,11509.33,2009.34,8232.6,113.4,9.9,3456.7,5.0,0.0,7512.17,2736.42,11564.77,2205.4,8384.12
lowambition_cesccs,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.36,0.0,6924.99,25.75,11508.73,2008.68,4931.28,113.4,9.9,3456.7,0.36,0.0,7163.0,1386.29,11509.33,2009.34,8232.6,113.4,9.9,3456.7,17306.92,0.0,7512.19,2748.58,11532.45,3377.32,14149.98
lowambition_cesccstech,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.28,0.0,6883.54,23.43,11504.66,3000.25,6332.97,113.4,9.9,3456.7,2.63,0.0,13250.73,1393.53,11529.62,6000.14,16888.72,113.4,9.9,3456.7,14770.53,0.0,17599.13,2752.03,11529.76,6002.7,26147.07
lowambition_cesccstechnuc35,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.28,0.0,6883.54,23.43,11504.66,3000.25,6332.97,113.4,9.9,3456.7,1200.0,0.0,13250.15,1385.64,11504.78,6000.07,18884.46,113.4,9.9,3456.7,14773.0,0.0,17599.23,2753.66,11531.24,6005.98,26141.04
lowambition_cesccstechnuc45,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.34,0.0,6842.75,25.44,11510.41,3025.15,5800.81,113.4,9.9,3456.7,0.35,0.0,13250.08,1386.19,11510.54,6000.0,18716.32,113.4,9.9,3456.7,14792.95,0.0,17600.66,2756.88,11515.39,6006.07,26196.83
lowambition_cesccstechret,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.25,0.0,6785.15,18.11,11521.53,3048.96,6638.64,113.4,9.9,3456.7,0.27,0.0,13250.0,1385.03,11522.36,6000.0,18560.58,113.4,9.9,3456.7,14720.57,0.0,17599.63,2761.42,0.0,6080.1,25969.3
lowambition_cesincccstech,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.28,0.0,6883.54,23.43,11504.66,3000.25,6332.97,113.4,9.9,3456.7,2.63,0.0,13250.73,1393.53,11529.62,6000.14,16888.72,113.4,9.9,3456.7,13904.07,0.0,17599.11,2756.28,11571.65,6023.39,26568.94
lowambition_cesincccstechinstate,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.28,0.0,6883.54,23.43,11504.66,3000.25,6332.97,113.4,9.9,3456.7,0.29,0.0,13250.38,2419.46,11505.07,6000.0,18338.97,113.4,9.9,3456.7,24013.33,0.0,17599.34,5216.65,11579.46,6002.24,26648.3
lowambition_cesinstate50,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.34,0.0,6918.19,24.35,11498.49,2020.81,5330.1,113.4,9.9,3456.7,0.36,0.0,7156.21,1386.57,11499.1,2021.05,8038.06,113.4,9.9,3456.7,2.3,0.0,7505.36,2735.19,11524.11,2419.18,9037.5
