CaseName,Zone,Maximum_NJ_Load_p1,Total_NJ_Load_p1,Total_System_Emissions_p1,Total_NJ_Emissions_p1,Total_RGGI_Emissions_p1,Maximum_NJ_Load_p2,Total_NJ_Load_p2,Total_System_Emissions_p2,Total_NJ_Emissions_p2,Total_RGGI_Emissions_p2,Maximum_NJ_Load_p3,Total_NJ_Load_p3,Total_System_Emissions_p3,Total_NJ_Emissions_p3,Total_RGGI_Emissions_p3
lowambition_base,NJ,20382.0,92732512.43,733983865.81,170229.99,43601669.8,21589.0,105710292.57,883395121.55,23490.14,29596211.28,28265.0,130848050.0,934685382.02,80794.38,33001288.23
lowambition_ces,NJ,20382.0,92732512.43,733943013.92,203115.72,43605395.89,21589.0,105710292.57,883176522.98,21701.02,29598086.53,28265.0,130848050.0,935138376.85,98350.02,33050425.7
lowambition_cesccs,NJ,20382.0,92732512.43,733943013.92,203115.72,43605395.89,21589.0,105710292.57,883176522.98,21701.02,29598086.53,28265.0,130848050.0,770178515.93,70439.28,33139916.53
lowambition_cesccstech,NJ,20382.0,92732512.43,733618333.47,198970.93,43608005.61,21589.0,105710292.57,880438018.75,60004.49,30130358.01,28265.0,130848050.0,767094892.36,82001.38,33629202.53
lowambition_cesccstechnuc35,NJ,20382.0,92732512.43,733618333.47,198970.93,43608005.61,21589.0,105710292.57,875752296.81,20308.76,29840825.05,28265.0,130848050.0,767818676.04,80277.65,33536718.13
lowambition_cesccstechnuc45,NJ,20382.0,92732512.43,734060473.39,183031.71,43601527.4,21589.0,105710292.57,879244965.54,20041.77,29829134.18,28265.0,130848050.0,766051563.95,95550.8,33622197.23
lowambition_cesccstechret,NJ,20382.0,92732512.43,733706716.99,211658.28,43600787.2,21589.0,105710292.57,878961890.98,23846.5,29862542.52,28265.0,130848050.0,761226452.65,2903.9,33173084.8
lowambition_cesincccstech,NJ,20382.0,92732512.43,733618333.47,198970.93,43608005.61,21589.0,105710292.57,880438018.75,60004.49,30130358.01,28265.0,130848050.0,841133856.24,78155.64,33226175.85
lowambition_cesincccstechinstate,NJ,20382.0,92732512.43,733618333.47,198970.93,43608005.61,21589.0,105710292.57,877035776.17,18451.24,29835335.32,28265.0,130848050.0,848789289.55,86989.58,33495838.39
lowambition_cesinstate50,NJ,20382.0,92732512.43,733692217.46,202968.07,43603639.19,21589.0,105710292.57,883076937.85,18900.81,29609560.38,28265.0,130848050.0,934756265.95,58642.48,32964533.11
