CaseName,Zone,Energy_Price_p1,PJM_Capacity_Price_p1,NJ_Clean_Capacity_Price_p1,EAC_Price_p1,MinCap_Price_p1,Total_Price_p1,Energy_Price_p2,PJM_Capacity_Price_p2,NJ_Clean_Capacity_Price_p2,EAC_Price_p2,MinCap_Price_p2,Total_Price_p2,Energy_Price_p3,PJM_Capacity_Price_p3,NJ_Clean_Capacity_Price_p3,EAC_Price_p3,MinCap_Price_p3,Total_Price_p3
lowambition_base,NJ,29,64,0,0.0,0,93.0,33,52,0.0,0.0,0,85.0,31,54,0.0,0.0,0,85.0
lowambition_ces,NJ,29,64,0,0.0,0,93.0,33,52,0.0,0.0,0,85.0,31,54,0.0,0.0,0,85.0
lowambition_cesccs,NJ,29,64,0,0.0,0,93.0,33,52,0.0,0.0,0,85.0,25,33,179.78,0.0,0,237.78
lowambition_cesccstech,NJ,29,64,0,0.0,0,93.0,33,52,0.0,0.01,0,85.01,25,34,177.39,0.0,0,236.39
lowambition_cesccstechnuc35,NJ,29,64,0,0.0,0,93.0,33,52,0.0,0.0,0,85.0,25,34,176.81,0.0,0,235.81
lowambition_cesccstechnuc45,NJ,29,64,0,0.0,0,93.0,33,52,0.0,0.0,0,85.0,25,34,177.44,0.02,0,236.46
lowambition_cesccstechret,NJ,29,64,0,0.0,0,93.0,33,52,0.0,0.0,0,85.0,23,50,157.13,0.0,0,230.13
lowambition_cesincccstech,NJ,29,64,0,0.0,0,93.0,33,52,0.0,0.01,0,85.01,27,53,80.86,0.0,0,160.86
lowambition_cesincccstechinstate,NJ,29,64,0,0.0,0,93.0,33,52,0.0,0.0,0,85.0,26,53,84.4,0.01,0,163.41
lowambition_cesinstate50,NJ,29,64,0,0.0,0,93.0,33,52,0.0,0.0,0,85.0,31,54,0.0,0.0,0,85.0
