CaseName,Zone,Minor_Techs_p0,Hydropower_p0,Existing_Nuclear_p0,New_Nuclear_p0,Coal_p0,Solar_p0,Wind_p0,Natural_Gas_p0,Battery_Power_p0,Battery_Energy_p0,Minor_Techs_p1,Hydropower_p1,Existing_Nuclear_p1,New_Nuclear_p1,Coal_p1,Solar_p1,Wind_p1,Natural_Gas_p1,Battery_Power_p1,Battery_Energy_p1,Minor_Techs_p2,Hydropower_p2,Existing_Nuclear_p2,New_Nuclear_p2,Coal_p2,Solar_p2,Wind_p2,Natural_Gas_p2,Battery_Power_p2,Battery_Energy_p2,Minor_Techs_p3,Hydropower_p3,Existing_Nuclear_p3,New_Nuclear_p3,Coal_p3,Solar_p3,Wind_p3,Natural_Gas_p3,Battery_Power_p3,Battery_Energy_p3
lowdemand_base,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.29,0.0,3950.37,18.77,11507.43,2002.36,3287.75,113.4,9.9,3456.7,2.45,0.0,4188.38,1385.06,11521.23,2003.44,6592.32,113.4,9.9,3456.7,4.5,0.0,4537.53,2736.52,11565.65,4406.29,17678.68
lowdemand_ces,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.39,0.0,3944.72,18.04,11509.19,2003.55,3275.57,113.4,9.9,3456.7,0.43,0.0,4182.73,1384.19,11509.6,2003.57,8367.36,113.4,9.9,3456.7,3.86,0.0,4531.88,2734.57,11556.78,4482.41,17978.33
lowdemand_cesccs,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.39,0.0,3944.72,18.04,11509.19,2003.55,3275.57,113.4,9.9,3456.7,0.43,0.0,4182.73,1384.19,11509.6,2003.57,8367.36,113.4,9.9,3456.7,14839.03,0.0,4533.25,2747.22,11530.21,4901.01,30803.67
lowdemand_cesccstech,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.4,0.0,3945.8,19.74,11509.5,3000.58,4672.63,113.4,9.9,3456.7,0.41,0.0,13250.46,1384.18,11509.42,6000.01,22487.27,113.4,9.9,3456.7,9889.9,0.0,17599.0,2742.81,11514.19,8357.46,54283.48
lowdemand_cesccstechnuc35,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.4,0.0,3945.8,19.74,11509.5,3000.58,4672.63,113.4,9.9,3456.7,1200.0,0.0,13251.2,1384.19,11509.41,6000.04,22113.36,113.4,9.9,3456.7,9870.96,0.0,17599.03,2742.23,11512.4,8396.96,54236.13
lowdemand_cesccstechnuc45,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.4,0.0,3945.8,19.74,11509.5,3000.58,4672.63,113.4,9.9,3456.7,0.41,0.0,13250.46,1384.18,11509.42,6000.01,22487.27,113.4,9.9,3456.7,9997.39,0.0,17599.23,2747.57,11523.46,7871.79,51896.74
lowdemand_cesccstechret,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.16,0.0,3939.92,19.68,11507.89,3001.15,5908.21,113.4,9.9,3456.7,0.17,0.0,13250.94,1383.61,11508.3,6000.0,22851.14,113.4,9.9,3456.7,11038.55,0.0,17599.17,2749.14,0.0,10238.38,56626.11
lowdemand_cesincccstech,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.4,0.0,3945.8,19.74,11509.5,3000.58,4672.63,113.4,9.9,3456.7,0.41,0.0,13250.46,1384.18,11509.42,6000.01,22487.27,113.4,9.9,3456.7,9169.44,0.0,17599.01,2734.39,11510.09,13209.71,67957.25
lowdemand_cesincccstechinstate,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.4,0.0,3945.8,19.74,11509.5,3000.58,4672.63,113.4,9.9,3456.7,0.43,0.0,13250.05,1384.23,11510.05,6000.01,21676.27,113.4,9.9,3456.7,21261.56,0.0,17599.21,4787.9,11549.03,8014.12,42153.55
lowdemand_cesinstate50,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.19,0.0,3945.62,15.96,11508.34,2000.03,3124.1,113.4,9.9,3456.7,0.22,0.0,4183.62,1383.66,11508.65,2000.09,8100.65,113.4,9.9,3456.7,0.99,0.0,4532.69,2733.5,11510.47,6747.55,24731.88
