CaseName,Zone,Maximum_NJ_Load_p1,Total_NJ_Load_p1,Total_System_Emissions_p1,Total_NJ_Emissions_p1,Total_RGGI_Emissions_p1,Maximum_NJ_Load_p2,Total_NJ_Load_p2,Total_System_Emissions_p2,Total_NJ_Emissions_p2,Total_RGGI_Emissions_p2,Maximum_NJ_Load_p3,Total_NJ_Load_p3,Total_System_Emissions_p3,Total_NJ_Emissions_p3,Total_RGGI_Emissions_p3
lowdemand_base,NJ,18343.8,83459261.19,602090645.14,163051.26,31232577.98,19430.1,95139263.31,730648012.04,62434.84,13800864.66,25438.5,117763245.0,745888726.03,83791.41,10424695.97
lowdemand_ces,NJ,18343.8,83459261.19,602096852.11,153881.36,31208614.38,19430.1,95139263.31,729497163.73,29309.36,13800169.94,25438.5,117763245.0,746013609.41,92501.15,10512921.72
lowdemand_cesccs,NJ,18343.8,83459261.19,602096852.11,153881.36,31208614.38,19430.1,95139263.31,729497163.73,29309.36,13800169.94,25438.5,117763245.0,615356759.14,67193.98,9612947.15
lowdemand_cesccstech,NJ,18343.8,83459261.19,602074720.46,158943.13,31176283.74,19430.1,95139263.31,721964105.38,28102.37,13800211.16,25438.5,117763245.0,613098695.53,59133.88,9517454.2
lowdemand_cesccstechnuc35,NJ,18343.8,83459261.19,602074720.46,158943.13,31176283.74,19430.1,95139263.31,718901173.48,28708.63,13800087.33,25438.5,117763245.0,613976362.08,53485.89,9484076.44
lowdemand_cesccstechnuc45,NJ,18343.8,83459261.19,602074720.46,158943.13,31176283.74,19430.1,95139263.31,721964105.38,28102.37,13800211.16,25438.5,117763245.0,614335074.8,76081.1,9612148.99
lowdemand_cesccstechret,NJ,18343.8,83459261.19,601234688.0,123245.2,31091014.84,19430.1,95139263.31,721964712.0,29217.88,13800023.91,25438.5,117763245.0,611405337.08,2402.8,9289582.22
lowdemand_cesincccstech,NJ,18343.8,83459261.19,602074720.46,158943.13,31176283.74,19430.1,95139263.31,721964105.38,28102.37,13800211.16,25438.5,117763245.0,657297896.94,18998.14,9580411.79
lowdemand_cesincccstechinstate,NJ,18343.8,83459261.19,602074720.46,158943.13,31176283.74,19430.1,95139263.31,719639843.78,29445.87,13800286.74,25438.5,117763245.0,673485528.7,83595.84,9613383.99
lowdemand_cesinstate50,NJ,18343.8,83459261.19,602205407.02,168155.59,31274203.32,19430.1,95139263.31,729529200.9,27035.11,13801131.29,25438.5,117763245.0,751244046.03,35095.23,13309744.78
