CaseName,Zone,Minor_Techs_p0,Hydropower_p0,Existing_Nuclear_p0,New_Nuclear_p0,Coal_p0,Solar_p0,Wind_p0,Natural_Gas_p0,Battery_Power_p0,Battery_Energy_p0,Minor_Techs_p1,Hydropower_p1,Existing_Nuclear_p1,New_Nuclear_p1,Coal_p1,Solar_p1,Wind_p1,Natural_Gas_p1,Battery_Power_p1,Battery_Energy_p1,Minor_Techs_p2,Hydropower_p2,Existing_Nuclear_p2,New_Nuclear_p2,Coal_p2,Solar_p2,Wind_p2,Natural_Gas_p2,Battery_Power_p2,Battery_Energy_p2,Minor_Techs_p3,Hydropower_p3,Existing_Nuclear_p3,New_Nuclear_p3,Coal_p3,Solar_p3,Wind_p3,Natural_Gas_p3,Battery_Power_p3,Battery_Energy_p3
lowng_base,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.53,0.0,3990.83,50.33,11521.53,2007.79,3655.51,113.4,9.9,3456.7,0.54,0.0,4228.84,1899.69,11522.65,2007.9,7008.72,113.4,9.9,3456.7,5.55,0.0,4578.04,2729.37,11605.88,3709.65,13079.34
lowng_ces,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.59,0.0,3985.82,37.08,11523.91,2005.08,3602.05,113.4,9.9,3456.7,2.78,0.0,4223.87,1917.58,11533.88,2005.83,6611.05,113.4,9.9,3456.7,3.51,0.0,4572.95,2735.01,11564.02,4056.27,14169.86
lowng_cesccs,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.59,0.0,3985.82,37.08,11523.91,2005.08,3602.05,113.4,9.9,3456.7,2.78,0.0,4223.87,1917.58,11533.88,2005.83,6611.05,113.4,9.9,3456.7,17324.67,0.0,4572.96,2741.22,11531.36,4803.45,28147.95
lowng_cesccstech,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.54,0.0,3988.2,38.95,11522.4,3036.47,4694.27,113.4,9.9,3456.7,3.01,0.0,13268.3,2722.88,11531.6,6000.36,20535.73,113.4,9.9,3456.7,15421.78,0.0,17599.01,2751.18,11529.1,6842.12,43919.02
lowng_cesccstechnuc35,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.54,0.0,3988.2,38.95,11522.4,3036.47,4694.27,113.4,9.9,3456.7,1200.01,0.0,13252.63,2691.06,11538.03,6000.27,20512.7,113.4,9.9,3456.7,14669.92,0.0,17599.03,2749.8,11536.83,7258.33,45865.76
lowng_cesccstechnuc45,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.54,0.0,3988.2,38.95,11522.4,3036.47,4694.27,113.4,9.9,3456.7,3.01,0.0,13268.3,2722.88,11531.6,6000.36,20535.73,113.4,9.9,3456.7,15378.67,0.0,17599.03,2746.95,11530.18,6645.35,42602.01
lowng_cesccstechret,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.5,0.0,3964.53,43.19,11525.27,3000.07,5035.71,113.4,9.9,3456.7,0.76,0.0,13250.07,2732.29,11527.93,6000.02,22383.03,113.4,9.9,3456.7,15172.51,0.0,17599.29,2751.18,-0.0,8754.27,47724.01
lowng_cesincccstech,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.54,0.0,3988.2,38.95,11522.4,3036.47,4694.27,113.4,9.9,3456.7,3.01,0.0,13268.3,2722.88,11531.6,6000.36,20535.73,113.4,9.9,3456.7,12244.93,0.0,17599.14,2748.62,11563.99,10678.77,56328.97
lowng_cesincccstechinstate,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.54,0.0,3988.2,38.95,11522.4,3036.47,4694.27,113.4,9.9,3456.7,3.05,0.0,13250.14,2724.54,11539.66,6000.09,20306.6,113.4,9.9,3456.7,24026.94,0.0,17599.19,4743.87,11578.21,8140.21,45466.86
lowng_cesinstate50,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.27,0.0,3957.19,31.11,11509.06,2016.84,3993.56,113.4,9.9,3456.7,0.31,0.0,4195.21,1887.14,11509.2,2016.84,7514.64,113.4,9.9,3456.7,5.48,0.0,4544.35,2730.29,11593.97,3973.74,14150.65
