CaseName,Zone,Maximum_NJ_Load_p1,Total_NJ_Load_p1,Total_System_Emissions_p1,Total_NJ_Emissions_p1,Total_RGGI_Emissions_p1,Maximum_NJ_Load_p2,Total_NJ_Load_p2,Total_System_Emissions_p2,Total_NJ_Emissions_p2,Total_RGGI_Emissions_p2,Maximum_NJ_Load_p3,Total_NJ_Load_p3,Total_System_Emissions_p3,Total_NJ_Emissions_p3,Total_RGGI_Emissions_p3
lowng_base,NJ,20382.0,92732512.43,601135631.29,1054535.67,40865878.32,21589.0,105710292.57,885575318.85,26273.6,13807624.4,28265.0,130848050.0,1012082088.3,102603.31,11645340.09
lowng_ces,NJ,20382.0,92732512.43,601753419.0,950248.17,40651131.91,21589.0,105710292.57,884674147.52,61046.93,13918063.21,28265.0,130848050.0,1012202542.13,71317.01,11485790.93
lowng_cesccs,NJ,20382.0,92732512.43,601753419.0,950248.17,40651131.91,21589.0,105710292.57,884674147.52,61046.93,13918063.21,28265.0,130848050.0,885658425.54,63872.94,10019367.54
lowng_cesccstech,NJ,20382.0,92732512.43,601774417.88,999555.63,40836378.79,21589.0,105710292.57,878271902.83,67149.98,14015122.83,28265.0,130848050.0,889080721.29,79178.09,10099728.76
lowng_cesccstechnuc35,NJ,20382.0,92732512.43,601774417.88,999555.63,40836378.79,21589.0,105710292.57,875619347.99,72319.74,14014195.54,28265.0,130848050.0,887737759.23,75339.08,10059784.04
lowng_cesccstechnuc45,NJ,20382.0,92732512.43,601774417.88,999555.63,40836378.79,21589.0,105710292.57,878271902.83,67149.98,14015122.83,28265.0,130848050.0,888578725.73,60062.2,9968411.94
lowng_cesccstechret,NJ,20382.0,92732512.43,600197035.07,858244.18,40690058.68,21589.0,105710292.57,879369999.88,30526.39,13840174.91,28265.0,130848050.0,882330511.52,2139.63,9810849.44
lowng_cesincccstech,NJ,20382.0,92732512.43,601774417.88,999555.63,40836378.79,21589.0,105710292.57,878271902.83,67149.98,14015122.83,28265.0,130848050.0,928646889.32,72064.24,10746871.66
lowng_cesincccstechinstate,NJ,20382.0,92732512.43,601774417.88,999555.63,40836378.79,21589.0,105710292.57,878918108.66,73924.26,14031231.26,28265.0,130848050.0,932969083.9,79745.9,10592466.28
lowng_cesinstate50,NJ,20382.0,92732512.43,600351965.6,890946.18,40512182.93,21589.0,105710292.57,885708674.66,22926.07,13806575.01,28265.0,130848050.0,1022188901.92,89715.48,16635954.54
