CaseName,Zone,Energy_Price_p1,PJM_Capacity_Price_p1,NJ_Clean_Capacity_Price_p1,EAC_Price_p1,MinCap_Price_p1,Total_Price_p1,Energy_Price_p2,PJM_Capacity_Price_p2,NJ_Clean_Capacity_Price_p2,EAC_Price_p2,MinCap_Price_p2,Total_Price_p2,Energy_Price_p3,PJM_Capacity_Price_p3,NJ_Clean_Capacity_Price_p3,EAC_Price_p3,MinCap_Price_p3,Total_Price_p3
lowng_base,NJ,24,63,0,4.06,0,91.06,34,53,0.0,0.0,0,87.0,30,56,0.0,0.0,0,86.0
lowng_ces,NJ,24,63,0,4.09,0,91.09,34,53,0.0,0.0,0,87.0,30,56,0.0,0.0,0,86.0
lowng_cesccs,NJ,24,63,0,4.09,0,91.09,34,53,0.0,0.0,0,87.0,21,34,193.18,0.0,0,248.18
lowng_cesccstech,NJ,24,63,0,4.06,0,91.06,34,52,0.0,0.0,0,86.0,20,42,179.92,0.0,0,241.92
lowng_cesccstechnuc35,NJ,24,63,0,4.06,0,91.06,34,52,0.0,0.0,0,86.0,20,42,178.63,0.0,0,240.63
lowng_cesccstechnuc45,NJ,24,63,0,4.06,0,91.06,34,52,0.0,0.0,0,86.0,20,42,179.62,0.0,0,241.62
lowng_cesccstechret,NJ,24,63,0,4.1,0,91.1,34,52,0.0,0.0,0,86.0,19,50,168.92,0.0,0,237.92
lowng_cesincccstech,NJ,24,63,0,4.06,0,91.06,34,52,0.0,0.0,0,86.0,24,53,85.1,0.0,0,162.1
lowng_cesincccstechinstate,NJ,24,63,0,4.06,0,91.06,34,52,0.0,0.0,0,86.0,23,53,88.95,0.0,0,164.95
lowng_cesinstate50,NJ,24,63,0,4.1,0,91.1,34,53,0.0,0.0,0,87.0,31,55,0.0,0.0,0,86.0
