CaseName,Zone,Minor_Techs_p0,Hydropower_p0,Existing_Nuclear_p0,New_Nuclear_p0,Coal_p0,Solar_p0,Wind_p0,Natural_Gas_p0,Battery_Power_p0,Battery_Energy_p0,Minor_Techs_p1,Hydropower_p1,Existing_Nuclear_p1,New_Nuclear_p1,Coal_p1,Solar_p1,Wind_p1,Natural_Gas_p1,Battery_Power_p1,Battery_Energy_p1,Minor_Techs_p2,Hydropower_p2,Existing_Nuclear_p2,New_Nuclear_p2,Coal_p2,Solar_p2,Wind_p2,Natural_Gas_p2,Battery_Power_p2,Battery_Energy_p2,Minor_Techs_p3,Hydropower_p3,Existing_Nuclear_p3,New_Nuclear_p3,Coal_p3,Solar_p3,Wind_p3,Natural_Gas_p3,Battery_Power_p3,Battery_Energy_p3
lowsolar_base,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.56,0.0,3993.76,25.58,11519.09,2001.88,4414.3,113.4,9.9,3456.7,0.57,0.0,4231.77,1778.83,11519.06,2001.89,8260.66,113.4,9.9,3456.7,4.14,0.0,4580.83,2730.66,11574.5,4038.52,15021.53
lowsolar_ces,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.49,0.0,3972.38,26.21,11517.4,2024.82,4335.02,113.4,9.9,3456.7,0.5,0.0,4210.41,1791.36,11517.26,2025.07,8044.3,113.4,9.9,3456.7,5.19,0.0,4559.54,2730.16,11590.72,3914.46,14466.3
lowsolar_cesccs,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.49,0.0,3972.38,26.21,11517.4,2024.82,4335.02,113.4,9.9,3456.7,0.5,0.0,4210.41,1791.36,11517.26,2025.07,8044.3,113.4,9.9,3456.7,17166.91,0.0,4559.57,2751.97,11517.1,4999.19,27291.19
lowsolar_cesccstech,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.54,0.0,3976.44,26.82,11520.45,3002.65,5480.49,113.4,9.9,3456.7,2.47,0.0,13250.55,1497.66,11529.6,6000.2,20758.69,113.4,9.9,3456.7,14109.81,0.0,17599.12,2749.11,11536.43,7250.01,45683.43
lowsolar_cesccstechnuc35,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.54,0.0,3976.44,26.82,11520.45,3002.65,5480.49,113.4,9.9,3456.7,1200.1,0.0,13250.19,1414.42,11520.46,6000.2,21618.73,113.4,9.9,3456.7,13803.08,0.0,17599.1,2741.53,11517.62,8333.54,49069.66
lowsolar_cesccstechnuc45,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.54,0.0,3976.44,26.82,11520.45,3002.65,5480.49,113.4,9.9,3456.7,2.47,0.0,13250.55,1497.66,11529.6,6000.2,20758.69,113.4,9.9,3456.7,14139.06,0.0,17599.01,2741.46,11530.23,7755.28,47268.72
lowsolar_cesccstechret,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.4,0.0,3966.26,27.12,11531.63,3000.04,5663.2,113.4,9.9,3456.7,0.41,0.0,13251.34,1752.98,11531.98,6000.08,21835.94,113.4,9.9,3456.7,14666.69,0.0,17599.04,2747.13,0.0,9138.44,50870.22
lowsolar_cesincccstech,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.54,0.0,3976.44,26.82,11520.45,3002.65,5480.49,113.4,9.9,3456.7,2.47,0.0,13250.55,1497.66,11529.6,6000.2,20758.69,113.4,9.9,3456.7,11647.15,0.0,17599.24,2756.39,11598.85,10866.17,56199.95
lowsolar_cesincccstechinstate,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.54,0.0,3976.44,26.82,11520.45,3002.65,5480.49,113.4,9.9,3456.7,0.6,0.0,13250.06,1666.74,11520.57,6000.03,21839.84,113.4,9.9,3456.7,24025.17,0.0,17599.17,4794.11,11575.32,8517.69,46281.57
lowsolar_cesinstate50,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.14,0.0,15859.91,9.46,11497.42,5241.4,17127.92,113.4,9.9,3456.7,0.27,0.0,16100.8,1382.61,11498.03,5137.25,17128.59,113.4,9.9,3456.7,6.96,0.0,16454.92,2733.6,11604.41,6776.04,31120.26
