CaseName,Zone,Energy_Price_p1,PJM_Capacity_Price_p1,NJ_Clean_Capacity_Price_p1,EAC_Price_p1,MinCap_Price_p1,Total_Price_p1,Energy_Price_p2,PJM_Capacity_Price_p2,NJ_Clean_Capacity_Price_p2,EAC_Price_p2,MinCap_Price_p2,Total_Price_p2,Energy_Price_p3,PJM_Capacity_Price_p3,NJ_Clean_Capacity_Price_p3,EAC_Price_p3,MinCap_Price_p3,Total_Price_p3
lowsolar_base,NJ,26,66,0,1.01,0,93.01,33,53,0.0,0.0,0,86.0,30,56,0.0,0.0,0,86.0
lowsolar_ces,NJ,26,66,0,0.98,0,92.98,33,53,0.0,0.0,0,86.0,30,56,0.0,0.01,0,86.01
lowsolar_cesccs,NJ,26,66,0,0.98,0,92.98,33,53,0.0,0.0,0,86.0,22,39,177.74,0.0,0,238.74
lowsolar_cesccstech,NJ,26,66,0,0.99,0,92.99,33,52,0.0,0.0,0,85.0,22,41,176.12,0.0,0,239.12
lowsolar_cesccstechnuc35,NJ,26,66,0,0.99,0,92.99,33,52,0.0,0.0,0,85.0,22,41,175.21,0.0,0,238.21
lowsolar_cesccstechnuc45,NJ,26,66,0,0.99,0,92.99,33,52,0.0,0.0,0,85.0,22,41,175.84,0.0,0,238.84
lowsolar_cesccstechret,NJ,26,66,0,1.04,0,93.04,33,52,0.0,0.0,0,85.0,21,49,164.13,0.0,0,234.13
lowsolar_cesincccstech,NJ,26,66,0,0.99,0,92.99,33,52,0.0,0.0,0,85.0,25,53,83.55,0.0,0,161.56
lowsolar_cesincccstechinstate,NJ,26,66,0,0.99,0,92.99,33,52,0.0,0.0,0,85.0,23,53,89.02,0.0,0,165.02
lowsolar_cesinstate50,NJ,27,62,0,0.0,0,89.0,33,51,0.0,0.0,0,84.0,31,55,0.0,0.0,0,86.0
