CaseName,Zone,Minor_Techs_p0,Hydropower_p0,Existing_Nuclear_p0,New_Nuclear_p0,Coal_p0,Solar_p0,Wind_p0,Natural_Gas_p0,Battery_Power_p0,Battery_Energy_p0,Minor_Techs_p1,Hydropower_p1,Existing_Nuclear_p1,New_Nuclear_p1,Coal_p1,Solar_p1,Wind_p1,Natural_Gas_p1,Battery_Power_p1,Battery_Energy_p1,Minor_Techs_p2,Hydropower_p2,Existing_Nuclear_p2,New_Nuclear_p2,Coal_p2,Solar_p2,Wind_p2,Natural_Gas_p2,Battery_Power_p2,Battery_Energy_p2,Minor_Techs_p3,Hydropower_p3,Existing_Nuclear_p3,New_Nuclear_p3,Coal_p3,Solar_p3,Wind_p3,Natural_Gas_p3,Battery_Power_p3,Battery_Energy_p3
highambition_base,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.84,0.0,4208.5,1388.88,11539.72,2016.52,3594.26,113.4,9.9,3456.7,2.56,0.0,4446.54,1392.7,11621.91,2000.11,4325.13,113.4,9.9,3456.7,6.28,0.0,4795.6,2730.23,12148.31,3405.54,12199.6
highambition_ces,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.42,0.0,4255.37,1385.45,11524.7,2009.86,3521.48,113.4,9.9,3456.7,2.42,0.0,4493.38,1388.92,11617.36,2000.85,4335.5,113.4,9.9,3456.7,5.45,0.0,4842.63,2739.17,11993.22,3553.48,14525.83
highambition_cesccs,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.42,0.0,4255.37,1385.45,11524.7,2009.86,3521.48,113.4,9.9,3456.7,2.42,0.0,4493.38,1388.92,11617.36,2000.85,4335.5,113.4,9.9,3456.7,9410.45,0.0,4842.48,2748.35,11620.96,5708.74,31475.91
highambition_cesccstech,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.49,0.0,4260.51,1387.79,11528.1,3082.44,3924.37,113.4,9.9,3456.7,0.49,0.0,13250.73,1388.45,11529.24,6000.0,13023.18,113.4,9.9,3456.7,7363.94,0.0,17599.0,2740.45,11527.56,8988.78,55382.27
highambition_cesccstechnuc35,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.49,0.0,4260.51,1387.79,11528.1,3082.44,3924.37,113.4,9.9,3456.7,1200.0,0.0,13250.0,1388.45,11529.59,6000.01,13068.83,113.4,9.9,3456.7,7336.53,0.0,17599.11,2739.72,11527.8,9119.57,56362.6
highambition_cesccstechnuc45,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.49,0.0,4260.51,1387.79,11528.1,3082.44,3924.37,113.4,9.9,3456.7,0.49,0.0,13250.73,1388.45,11529.24,6000.0,13023.18,113.4,9.9,3456.7,7277.72,0.0,17599.23,2747.63,11536.7,8550.97,52903.35
highambition_cesccstechret,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.83,0.0,4193.78,1386.5,11559.82,3007.63,3991.28,113.4,9.9,3456.7,0.84,0.0,13250.03,1388.86,11560.38,6000.01,13031.41,113.4,9.9,3456.7,10273.23,0.0,17599.01,2734.79,0.0,11524.59,64489.84
highambition_cesincccstech,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.49,0.0,4260.51,1387.79,11528.1,3082.44,3924.37,113.4,9.9,3456.7,0.49,0.0,13250.73,1388.45,11529.24,6000.0,13023.18,113.4,9.9,3456.7,5454.19,0.0,17599.01,2749.8,11620.21,9998.78,52436.68
highambition_cesincccstechinstate,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.58,0.0,4206.14,1388.18,11525.85,3006.18,3991.59,113.4,9.9,3456.7,2.26,0.0,13250.64,1388.42,11584.23,6000.07,11452.96,113.4,9.9,3456.7,24031.09,0.0,17599.04,4577.09,11627.27,7707.95,50322.86
highambition_cesinstate50,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.49,0.0,4166.33,1386.4,11528.85,2011.47,3483.51,113.4,9.9,3456.7,2.98,0.0,4404.4,1393.59,11617.73,2000.63,4332.45,113.4,9.9,3456.7,5.33,0.0,4753.46,2735.48,11746.39,3755.06,13364.7
