Curtailment_MWh_p1,Renewable_MWh_p1,Curtailment_pct_RE_p1,Curtailment_MWh_p2,Renewable_MWh_p2,Curtailment_pct_RE_p2,Curtailment_MWh_p3,Renewable_MWh_p3,Curtailment_pct_RE_p3,CaseName
10258417.16,1419440923.19,0.00723,2076183.1,1430379071.81,0.00145,22030538.12,2882613905.13,0.00764,base_cesccstech
10165514.88,1419377568.88,0.00716,1535368.34,1382333277.11,0.00111,36691843.18,2742673197.57,0.01338,base_cesinccsret
10454748.88,1419671273.13,0.00736,1719480.69,1381809101.55,0.00124,29239631.19,2569184881.97,0.01138,base_base
10338581.43,1419184980.6,0.00728,2089485.56,1431256304.72,0.00146,28183048.12,2781982926.59,0.01013,base_cesincccstech
10338581.43,1419184980.6,0.00728,2089485.56,1431256304.72,0.00146,22373069.16,2887691993.47,0.00775,base_cesccstechnuc45
10206033.13,1419344703.17,0.00719,1499653.4,1382330066.19,0.00108,29834564.86,2798318381.7,0.01066,base_cesccsret
10258417.16,1419440923.19,0.00723,1838841.92,1432256479.22,0.00128,21949911.32,2884654213.32,0.00761,base_cesccstechnuc35
10451488.66,1419290897.42,0.00736,1479432.52,1383807899.63,0.00107,22481843.71,2800574902.02,0.00803,base_cesccs
10512082.37,1419030772.49,0.00741,2028758.54,1379296700.24,0.00147,18548096.62,2457914335.42,0.00755,base_cesinstate50
10434012.13,1419181252.1,0.00735,1997836.23,1380658479.46,0.00145,27572298.41,2737754583.12,0.01007,base_cesincccs
10451488.66,1419290897.42,0.00736,1479432.52,1383807899.63,0.00107,27262099.22,2569751399.73,0.01061,base_ces
10391845.63,1419348453.72,0.00732,2273173.1,1431181965.08,0.00159,28786027.37,2890497728.14,0.00996,base_cesccstechret
10338581.43,1419184980.6,0.00728,2039976.89,1434692369.12,0.00142,27230400.14,2687064241.51,0.01013,base_cesincccstechinstate
10257936.35,1419115220.82,0.00723,2058632.13,1431273647.55,0.00144,20825599.47,2859571821.12,0.00728,lds_cesccstech
11312955.08,1419428993.16,0.00797,6690732.8,1415089900.79,0.00473,27134777.82,2787972058.33,0.00973,lds_cesccstechnuc45
10313241.17,1418987972.63,0.00727,1886207.29,1379840580.58,0.00137,27468160.76,2730353151.46,0.01006,lds_cesincccs
10394787.49,1419130617.81,0.00732,1976947.32,1379618552.39,0.00143,29769349.23,2569396574.76,0.01159,lds_base
11444331.54,1419545278.7,0.00806,6933297.16,1373257715.76,0.00505,27991479.75,2571215903.91,0.01089,lds_ces
10304785.68,1419116707.8,0.00726,1916028.86,1430195835.43,0.00134,26347874.7,2776495470.72,0.00949,lds_cesincccstech
10351249.21,1419335180.17,0.00729,1829127.8,1431671668.17,0.00128,20911458.16,2858558759.19,0.00732,lds_cesccstechnuc35
10209072.31,1419226708.08,0.00719,1947939.03,1431137016.44,0.00136,26617565.83,2692215829.28,0.00989,lds_cesincccstechinstate
10331379.62,1419320378.97,0.00728,1848523.43,1379509535.75,0.00134,21736803.54,2798831759.8,0.00777,lds_cesccs
10398301.4,1418974148.83,0.00733,1909234.99,1379127143.16,0.00138,18363163.88,2458275126.07,0.00747,lds_cesinstate50
12610208.03,1420608705.64,0.00888,8312784.0,1369241473.56,0.00607,35296139.63,2757081603.26,0.0128,lds_cesccsret
10469733.51,1419013922.67,0.00738,1898266.57,1379103641.4,0.00138,18445012.69,2457839306.29,0.0075,highambition_cesinstate50
10338581.43,1419184980.6,0.00728,2089485.56,1431256304.72,0.00146,22567559.17,2885837641.41,0.00782,highambition_cesccstech
54975796.44,1876728230.6,0.02929,25726955.16,1727714870.01,0.01489,90141888.46,3154839444.77,0.02857,highambition_base
55181834.48,1876679635.6,0.0294,25745004.25,1772902354.16,0.01452,95838830.26,3274751665.96,0.02927,highambition_cesincccstechinstate
10450771.22,1419385684.02,0.00736,2145841.34,1427219805.38,0.0015,28479619.43,2884705680.14,0.00987,highambition_cesccstechret
54981712.7,1876425479.45,0.0293,26022780.36,1726628684.49,0.01507,88901596.65,3266692762.27,0.02721,highambition_ces
54981168.71,1876284866.27,0.0293,25894157.4,1726749844.44,0.015,94323851.33,3227159949.1,0.02923,highambition_cesincccs
55181834.48,1876679635.6,0.0294,25615855.9,1759383305.63,0.01456,94612664.5,3274336937.32,0.0289,highambition_cesincccstech
55005497.85,1876653649.03,0.02931,26201106.01,1726729236.7,0.01517,86128821.61,3237214143.39,0.02661,highambition_cesinccsret
10338581.43,1419184980.6,0.00728,1386242.29,1435746242.57,0.00097,22266449.89,2881798263.42,0.00773,highambition_cesccstechnuc35
10410220.71,1419265366.89,0.00733,1920065.45,1381017506.2,0.00139,21831934.68,2802997706.19,0.00779,highambition_cesccs
10338581.43,1419184980.6,0.00728,2089485.56,1431256304.72,0.00146,22373069.16,2887691993.47,0.00775,highambition_cesccstechnuc45
10150928.88,1419334061.84,0.00715,1825454.34,1662542906.13,0.0011,28953546.05,3310479282.97,0.00875,highng_cesccs
10187108.61,1419294010.81,0.00718,1826928.07,1662384719.75,0.0011,35707313.32,3275686496.61,0.0109,highng_cesincccs
10495761.53,1419435216.61,0.00739,2648677.65,1709743332.65,0.00155,34707253.01,3198549625.54,0.01085,highng_cesincccstechinstate
10395860.42,1419107896.2,0.00733,2098628.28,1661250090.93,0.00126,28036962.31,3060833777.65,0.00916,highng_cesinstate50
10395525.12,1419628027.08,0.00732,2390071.44,1704793906.03,0.0014,35820813.02,3376449486.26,0.01061,highng_cesccstechret
10299003.36,1419370357.42,0.00726,2229810.95,1706519626.37,0.00131,25927026.44,3382815083.94,0.00766,highng_cesccstech
10385039.41,1419298893.35,0.00732,1811006.84,1662086846.48,0.00109,36490858.32,3108301197.7,0.01174,highng_base
10299003.36,1419370357.42,0.00726,2241705.66,1708163818.32,0.00131,25530160.35,3384896516.98,0.00754,highng_cesccstechnuc35
10294001.89,1419349909.35,0.00725,1832327.0,1707574758.12,0.00107,25340674.53,3385983852.21,0.00748,highng_cesccstechnuc45
10150928.88,1419334061.84,0.00715,1825454.34,1662542906.13,0.0011,35759534.71,3111820152.54,0.01149,highng_ces
10398377.26,1419596985.22,0.00732,1828395.63,1661326535.6,0.0011,36300767.8,3276349100.41,0.01108,highng_cesinccsret
10299003.36,1419370357.42,0.00726,2229810.95,1706519626.37,0.00131,35582977.79,3348963804.98,0.01063,highng_cesincccstech
621721.68,946767573.58,0.00066,863041.97,1147209187.52,0.00075,14162151.61,2128236261.52,0.00665,lowambition_ces
681205.82,946533125.72,0.00072,1178681.32,1202463378.92,0.00098,12650767.49,2258550123.14,0.0056,lowambition_cesincccstechinstate
675876.39,946597750.0,0.00071,428874.76,1195807933.81,0.00036,19752913.42,2474101326.07,0.00798,lowambition_cesccstechret
161290.92,948573500.72,0.00017,1007140.7,1147718622.42,0.00088,15075296.57,2129526217.77,0.00708,lowambition_base
486273.44,946559563.88,0.00051,680566.16,1149036961.98,0.00059,14937716.07,2127718076.64,0.00702,lowambition_cesinstate50
693509.55,946325463.2,0.00073,1037005.72,1146116114.4,0.0009,19842460.08,2304438657.64,0.00861,lowambition_cesinccsret
342097.76,947653537.32,0.00036,1085172.25,1193578678.18,0.00091,9501939.9,2467496157.31,0.00385,lowambition_cesccstechnuc35
681205.82,946533125.72,0.00072,922273.46,1192454625.23,0.00077,12376525.15,2344819075.53,0.00528,lowambition_cesincccstech
640787.82,946409681.43,0.00068,1060483.98,1144754971.56,0.00093,11845350.52,2310252188.19,0.00513,lowambition_cesincccs
342097.76,947653537.32,0.00036,1112573.84,1193135815.33,0.00093,9846734.9,2468519152.45,0.00399,lowambition_cesccstech
621721.68,946767573.58,0.00066,863041.97,1147209187.52,0.00075,9833084.09,2384271360.28,0.00412,lowambition_cesccs
717236.74,945829661.48,0.00076,1120947.61,1188457584.8,0.00094,9542347.75,2465167747.35,0.00387,lowambition_cesccstechnuc45
10748998.19,1419464649.39,0.00757,2250516.85,1189568257.36,0.00189,27658488.15,2248157260.38,0.0123,lowng_base
10806122.77,1419464280.23,0.00761,2777000.8,1202795188.97,0.00231,20835523.82,2452968733.49,0.00849,lowng_cesccstechret
10936497.83,1419375106.47,0.00771,2482612.25,1230169498.68,0.00202,21559260.46,2312198756.41,0.00932,lowng_cesincccstechinstate
10936497.83,1419375106.47,0.00771,2716687.57,1203469319.05,0.00226,20677727.74,2443152871.35,0.00846,lowng_cesccstechnuc35
10936497.83,1419375106.47,0.00771,2732933.63,1204059540.03,0.00227,20975089.25,2374157258.54,0.00883,lowng_cesincccstech
10929745.73,1419394647.29,0.0077,2040900.08,1189329246.52,0.00172,27268927.89,2248587938.77,0.01213,lowng_ces
10928124.04,1419374775.68,0.0077,2769792.2,1205515972.26,0.0023,21096494.41,2445045124.45,0.00863,lowng_cesccstechnuc45
10987229.8,1419466578.5,0.00774,2561151.3,1189442089.65,0.00215,20694158.04,2343745905.85,0.00883,lowng_cesincccs
10783267.09,1419294920.3,0.0076,2456065.34,1189502847.71,0.00206,14812979.66,2113588577.93,0.00701,lowng_cesinstate50
10669557.21,1419371085.25,0.00752,2039785.59,1189461174.24,0.00171,22600594.85,2349879529.55,0.00962,lowng_cesinccsret
10936497.83,1419375106.47,0.00771,2732933.63,1204059540.03,0.00227,20918865.71,2444159287.3,0.00856,lowng_cesccstech
10891837.67,1419384551.05,0.00767,2297583.18,1189707763.88,0.00193,20069392.72,2429947486.95,0.00826,lowng_cesccs
10451488.66,1419290897.42,0.00736,1479432.52,1383807899.63,0.00107,49396332.34,3044126017.94,0.01623,highestamb_cesccs
