CaseName,Zone,NSE_MWh_NJ_p1,NSE_pct_NJ_p1,NSE_MWh_System_p1,NSE_pct_System_p1,NSE_MWh_NJ_p2,NSE_pct_NJ_p2,NSE_MWh_System_p2,NSE_pct_System_p2,NSE_MWh_NJ_p3,NSE_pct_NJ_p3,NSE_MWh_System_p3,NSE_pct_System_p3
base_cesccstech,NJ,0.0,0.0,1240367.76,0.000523,0.0,0.0,1896467.68,0.000708,0.0,0.0,2129202.38,0.000667
base_cesinccsret,NJ,0.0,0.0,1248587.96,0.000526,0.0,0.0,1831890.01,0.000684,0.0,0.0,2274138.59,0.000713
base_base,NJ,0.0,0.0,1270290.5,0.000535,0.0,0.0,1850601.52,0.000691,0.0,0.0,2067143.04,0.000648
base_cesincccstech,NJ,0.0,0.0,1234229.92,0.00052,0.0,0.0,1883731.73,0.000703,0.0,0.0,2247831.85,0.000705
base_cesccstechnuc45,NJ,0.0,0.0,1234229.92,0.00052,0.0,0.0,1883731.73,0.000703,0.0,0.0,2142492.96,0.000672
base_cesccsret,NJ,0.0,0.0,1249709.7,0.000527,0.0,0.0,1827429.15,0.000682,0.0,0.0,2204601.07,0.000691
base_cesccstechnuc35,NJ,0.0,0.0,1240367.76,0.000523,0.0,0.0,1866308.59,0.000697,0.0,0.0,2114773.43,0.000663
base_cesccs,NJ,0.0,0.0,1263658.85,0.000533,0.0,0.0,1827343.44,0.000682,0.0,0.0,2109285.4,0.000661
base_cesinstate50,NJ,0.0,0.0,1278153.33,0.000539,0.0,0.0,1880889.74,0.000702,0.0,0.0,2057101.19,0.000645
base_cesincccs,NJ,0.0,0.0,1264253.12,0.000533,0.0,0.0,1871794.24,0.000699,0.0,0.0,2201079.67,0.00069
base_ces,NJ,0.0,0.0,1263658.85,0.000533,0.0,0.0,1827343.44,0.000682,0.0,0.0,2051155.83,0.000643
base_cesccstechret,NJ,0.0,0.0,1256093.64,0.000529,0.0,0.0,1894474.72,0.000707,0.0,0.0,2094893.64,0.000657
