Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,Demand_MW_z26,Demand_MW_z27
2000.0,1.0,1.0,1.0,2000.0,18.0,168.0,360.0,1,1513.6000000000001,14454.000000000002,18217.100000000002,6915.700000000001,688.6,891.0000000000001,8946.300000000001,14547.500000000002,49076.50000000001,10871.300000000001,17766.100000000002,2967.8,6494.400000000001,7909.000000000001,1750.1000000000001,2939.2000000000003,4082.1000000000004,455.40000000000003,275.0,13330.900000000001,88204.6,2658.7000000000003,13764.300000000001,407.00000000000006,88.0,2484.9,1732.5000000000002
,2.0,0.9,0.04,1800.0,,,864.0,2,1409.1000000000001,13520.1,16660.600000000002,6576.900000000001,655.6,833.8000000000001,8391.900000000001,13591.6,45962.4,10230.0,16548.4,2764.3,6147.900000000001,7488.8,1656.6000000000001,2783.0,3914.9,436.70000000000005,262.90000000000003,12783.1,80835.70000000001,2513.5,13014.1,385.00000000000006,83.60000000000001,2402.4,1674.2
,3.0,0.55,0.024,1100.0,,,576.0,3,1364.0,12985.500000000002,15723.400000000001,6377.8,634.7,815.1,8225.800000000001,13007.500000000002,43841.600000000006,9997.900000000001,15931.300000000001,2662.0,6026.900000000001,7343.6,1624.7,2728.0,3897.3,434.50000000000006,262.90000000000003,12725.900000000001,76129.90000000001,2440.9,12634.6,374.00000000000006,80.30000000000001,2393.6000000000004,1667.6000000000001
,4.0,0.2,0.003,400.0,,,24.0,4,1395.9,12789.7,15184.400000000001,6395.400000000001,638.0,841.5000000000001,8531.6,12724.800000000001,42950.600000000006,10249.800000000001,15610.1,2608.1000000000004,6210.6,7568.000000000001,1674.2,2810.5,4075.5000000000005,454.3,273.90000000000003,13308.900000000001,73557.0,2532.2000000000003,13104.300000000001,387.20000000000005,83.60000000000001,2497.0,1740.2
,,,,,,,24.0,5,1497.1000000000001,13184.6,15288.900000000001,6739.700000000001,673.2,909.7,9256.5,13049.300000000001,43551.200000000004,10943.900000000001,16086.400000000001,2687.3,6724.3,8193.900000000001,1811.7,3043.7000000000003,4446.200000000001,496.1,299.20000000000005,14515.6,73449.20000000001,2763.2000000000003,14306.6,424.6,91.30000000000001,2717.0,1894.2
,,,,,,,696.0000000000001,6,1648.9,13827.000000000002,16805.800000000003,7181.900000000001,716.1,975.7,9944.0,14030.500000000002,45551.00000000001,12244.1,18020.2,3010.7000000000003,7184.1,8754.900000000001,1936.0000000000002,3251.6000000000004,4811.400000000001,536.8000000000001,324.5,15710.2,78041.70000000001,2965.6000000000004,15357.1,454.3,97.9,2889.7000000000003,2014.1000000000001
,,,,,,,24.0,7,1805.1000000000001,14613.500000000002,19459.0,7635.1,762.3000000000001,1045.0,10653.5,15323.000000000002,48463.8,13093.300000000001,20108.0,3359.4,7619.700000000001,9281.800000000001,2053.7000000000003,3448.5000000000005,5053.400000000001,564.3000000000001,339.90000000000003,16502.2,87705.20000000001,3141.6000000000004,16262.400000000001,481.8,104.50000000000001,3006.3,2095.5
,,,,,,,576.0,8,2029.5000000000002,15713.500000000002,22709.500000000004,8241.2,821.7,1153.9,11723.800000000001,17293.100000000002,52811.00000000001,14234.000000000002,22214.5,3711.4,8285.2,10090.300000000001,2231.9,3749.9,5382.3,600.6,363.00000000000006,17580.2,98558.90000000001,3458.4,17903.600000000002,530.2,114.4,3192.2000000000003,2224.2000000000003
,,,,,,,936.0,9,2257.2000000000003,16967.5,25290.100000000002,8859.400000000001,883.3000000000001,1277.1000000000001,12919.500000000002,19050.9,57340.8,15477.000000000002,24305.600000000002,4061.2000000000003,8938.6,10884.5,2409.0,4045.8,5775.000000000001,644.6,388.3,18862.800000000003,108961.6,3829.1000000000004,19824.2,587.4000000000001,126.50000000000001,3411.1000000000004,2378.2000000000003
,,,,,,,432.0,10,2302.3,18213.800000000003,25790.600000000002,9116.800000000001,909.7,1302.4,13190.1,19406.2,60648.50000000001,15688.2,24626.800000000003,4115.1,8973.800000000001,10929.6,2417.8,4061.2000000000003,5850.900000000001,653.4000000000001,393.8,19108.100000000002,113337.40000000001,3933.6000000000004,20367.600000000002,602.8000000000001,129.8,3456.2000000000003,2409.0
