Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,Demand_MW_z26,Demand_MW_z27
2000.0,1.0,1.0,1.0,2000.0,18.0,168.0,360.0,1,1238.4,11826.0,14904.9,5658.3,563.4,729.0,7319.7,11902.5,40153.5,8894.7,14535.9,2428.2000000000003,5313.6,6471.0,1431.9,2404.8,3339.9,372.6,225.0,10907.1,72167.40000000001,2175.3,11261.7,333.0,72.0,2033.1000000000001,1417.5
,2.0,0.9,0.04,1800.0,,,864.0,2,1152.9,11061.9,13631.4,5381.1,536.4,682.2,6866.1,11120.4,37605.6,8370.0,13539.6,2261.7000000000003,5030.1,6127.2,1355.4,2277.0,3203.1,357.3,215.1,10458.9,66138.3,2056.5,10647.9,315.0,68.4,1965.6000000000001,1369.8
,3.0,0.55,0.024,1100.0,,,576.0,3,1116.0,10624.5,12864.6,5218.2,519.3000000000001,666.9,6730.2,10642.5,35870.4,8180.1,13034.7,2178.0,4931.1,6008.400000000001,1329.3,2232.0,3188.7000000000003,355.5,215.1,10412.1,62288.1,1997.1000000000001,10337.4,306.0,65.7,1958.4,1364.4
,4.0,0.2,0.003,400.0,,,24.0,4,1142.1000000000001,10464.300000000001,12423.6,5232.6,522.0,688.5,6980.400000000001,10411.2,35141.4,8386.2,12771.9,2133.9,5081.400000000001,6192.0,1369.8,2299.5,3334.5,371.7,224.1,10889.1,60183.0,2071.8,10721.7,316.8,68.4,2043.0,1423.8
,,,,,,,24.0,5,1224.9,10787.4,12509.1,5514.3,550.8000000000001,744.3000000000001,7573.5,10676.7,35632.8,8954.1,13161.6,2198.7000000000003,5501.7,6704.1,1482.3,2490.3,3637.8,405.90000000000003,244.8,11876.4,60094.8,2260.8,11705.4,347.40000000000003,74.7,2223.0,1549.8
,,,,,,,696.0000000000001,6,1349.1000000000001,11313.0,13750.2,5876.1,585.9,798.3000000000001,8136.0,11479.5,37269.0,10017.9,14743.800000000001,2463.3,5877.900000000001,7163.1,1584.0,2660.4,3936.6,439.2,265.5,12853.800000000001,63852.3,2426.4,12564.9,371.7,80.10000000000001,2364.3,1647.9
,,,,,,,24.0,7,1476.9,11956.5,15921.0,6246.900000000001,623.7,855.0,8716.5,12537.0,39652.200000000004,10712.7,16452.0,2748.6,6234.3,7594.2,1680.3,2821.5,4134.6,461.7,278.1,13501.800000000001,71758.8,2570.4,13305.6,394.2,85.5,2459.7000000000003,1714.5
,,,,,,,576.0,8,1660.5,12856.5,18580.5,6742.8,672.3000000000001,944.1,9592.2,14148.9,43209.0,11646.0,18175.5,3036.6,6778.8,8255.7,1826.1000000000001,3068.1,4403.7,491.40000000000003,297.0,14383.800000000001,80639.1,2829.6,14648.4,433.8,93.60000000000001,2611.8,1819.8
,,,,,,,936.0,9,1846.8,13882.5,20691.9,7248.6,722.7,1044.9,10570.5,15587.1,46915.200000000004,12663.0,19886.4,3322.8,7313.400000000001,8905.5,1971.0,3310.2000000000003,4725.0,527.4,317.7,15433.2,89150.40000000001,3132.9,16219.800000000001,480.6,103.5,2790.9,1945.8
,,,,,,,432.0,10,1883.7,14902.2,21101.4,7459.2,744.3000000000001,1065.6000000000001,10791.9,15877.800000000001,49621.5,12835.800000000001,20149.2,3366.9,7342.2,8942.4,1978.2,3322.8,4787.1,534.6,322.2,15633.9,92730.6,3218.4,16664.4,493.2,106.2,2827.8,1971.0
,,,,,,,456.0,11,1865.7,15051.6,20924.100000000002,7427.7,740.7,1051.2,10668.6,15510.6,49912.200000000004,12715.2,19944.0,3332.7000000000003,7168.5,8731.800000000001,1932.3,3244.5,4722.3,526.5,317.7,15423.300000000001,92402.1,3205.8,16596.9,491.40000000000003,106.2,2781.9,1939.5
,,,,,,,504.0,12,1858.5,14850.0,20816.100000000002,7415.1,738.9,1044.9,10620.9,15165.0,49389.3,12711.6,19645.2,3281.4,7055.1,8595.0,1900.8,3193.2000000000003,4697.1,523.8000000000001,316.8,15339.6,92131.2,3189.6,16513.2,488.7,105.3,2752.2000000000003,1919.7
,,,,,,,648.0,13,1891.8,14766.300000000001,21005.100000000002,7463.7,744.3000000000001,1057.5,10755.0,15072.300000000001,48973.5,12918.6,19807.2,3309.3,7065.900000000001,8606.7,1903.5,3197.7000000000003,4725.0,527.4,317.7,15429.6,93362.40000000001,3231.0,16729.2,495.0,106.2,2749.5,1917.0
,,,,,,,432.0,14,1931.4,14728.5,21565.8,7514.1,748.8000000000001,1080.9,11016.0,15104.7,49113.9,13235.4,19989.9,3339.0,7122.6,8675.1,1919.7,3223.8,4783.5,533.7,322.2,15620.4,95463.0,3304.8,17105.4,505.8,108.9,2755.8,1920.6000000000001
,,,,,,,552.0,15,1948.5,14800.5,21551.4,7539.3,751.5,1092.6000000000001,11115.9,14931.0,49284.0,13323.6,19907.100000000002,3325.5,7101.900000000001,8649.9,1913.4,3214.8,4795.2,535.5,323.1,15660.9,97273.8,3347.1,17328.600000000002,512.1,110.7,2747.7000000000003,1916.1000000000001
,,,,,,,816.0,16,1982.7,14609.7,22172.4,7662.6,763.2,1123.2,11403.0,15244.2,49301.1,13618.800000000001,20479.5,3421.8,7251.3,8831.7,1953.9,3282.3,4865.400000000001,542.7,327.6,15891.300000000001,100441.8,3422.7000000000003,17720.100000000002,524.7,113.4,2784.6,1941.3
,,,,,,,408.0,17,2015.1000000000001,14543.1,22675.5,7779.6,774.9,1149.3,11657.7,15702.300000000001,50113.8,13806.9,21057.3,3518.1,7427.7,9043.2,2001.6000000000001,3361.5,4911.3,548.1,331.2,16038.0,104213.7,3483.9,18037.8,533.7,114.3,2808.9,1958.4
,,,,,,,432.0,18,2111.4,14595.300000000001,23588.100000000002,7727.400000000001,770.4,1192.5,12064.5,16280.1,50953.5,14361.300000000001,21929.4,3663.9,7710.3,9385.2,2077.2000000000003,3489.3,5066.1,565.2,342.0,16547.4,105031.8,3556.8,18414.0,544.5,117.0,2873.7000000000003,2003.4
,,,,,,,,19,2250.9,15327.9,24376.5,8003.7,797.4,1268.1000000000001,12785.4,17147.7,52840.8,15167.7,22924.8,3830.4,8176.5,9954.0,2203.2000000000003,3700.8,5390.1,601.2,362.7,17604.0,108703.8,3769.2000000000003,19515.600000000002,577.8000000000001,125.10000000000001,3038.4,2116.8
,,,,,,,,20,2161.8,15978.6,24616.8,8101.8,807.3000000000001,1235.7,12438.0,17461.8,54544.5,14745.6,23493.600000000002,3924.9,8181.900000000001,9958.5,2204.1,3703.5,5263.2,587.7,354.6,17190.0,109138.5,3669.3,18995.4,562.5,121.5,3005.1,2094.3
,,,,,,,,21,1971.0,15797.7,24003.0,7827.3,779.4,1132.2,11388.6,16968.600000000002,54509.4,13535.1,22082.4,3689.1,7620.3,9274.5,2052.9,3448.8,4835.7,540.0,324.90000000000003,15791.4,107343.90000000001,3348.9,17333.100000000002,513.9,110.7,2784.6,1941.3
,,,,,,,,22,1762.2,14835.6,22005.0,7299.900000000001,727.2,1021.5,10261.800000000001,15769.800000000001,51453.9,12161.7,20174.4,3370.5,6938.1,8444.7,1870.2,3140.1,4373.1,487.8,294.3,14282.1,102454.2,3006.0,15565.5,461.7,99.9,2541.6,1772.1000000000001
