Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Min_Power,num_units,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,fixed_o_m_mw_std,capacity_factor,unmodified_cap_size,Start_Fuel_MMBTU_per_MW,Fuel,Start_Cost_per_MW,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,spur_miles,spur_capex,spur_inv_mwyr,plant_inv_cost_mwyr,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Reg_Max,Rsv_Max,gen_energy_source,gen_is_baseload,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_type,Model
DE1_natural_gas_fired_combined_cycle_1,1,0,1,388.0,DE1,Natural Gas Fired Combined Cycle,1,194.0,97.5,8.59,19989,5.52,0.3,2.0,0.178,0.252,0.0,0.129,194.0,2.0,south_atlantic_naturalgas,112.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.06,0.04,Naturalgas,1
DE1_natural_gas_fired_combined_cycle_2,1,0,1,1136.0,DE1,Natural Gas Fired Combined Cycle,2,568.0,285.0,9.3,14947,4.31,0.3,2.0,0.626,0.885,0.0,0.129,568.0,2.0,south_atlantic_naturalgas,112.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.06,0.04,Naturalgas,1
DE1_natural_gas_fired_combustion_turbine_1,1,0,1,195.2,DE1,Natural Gas Fired Combustion Turbine,1,48.8,8.625,11.4,19144,0.0,0.3,4.0,1.77,2.985,0.0,0.206,48.8,3.5,south_atlantic_naturalgas,145.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1,1,0.106666667,0.213333333,Naturalgas,False,0.06,0.04,Naturalgas,1
DE1_natural_gas_steam_turbine_1,1,0,1,710.0,DE1,Natural Gas Steam Turbine,1,236.67,46.667,12.0,37816,1.28,0.5,3.0,0.0,0.0,0.0,0.027,236.667,13.7,south_atlantic_naturalgas,106.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0.63,1.26,Naturalgas,False,0.06,0.04,Naturalgas,1
DE1_petroleum_liquids_1,1,0,1,102.0,DE1,Petroleum Liquids,1,20.4,16.5,23.71,0,0.0,0.18,5.0,5.086,7.17,0.0,0.605,20.4,0.0,south_atlantic_distillate,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1,1,0.0,0.0,Diesel,False,0.06,0.04,Petroleum,1
IL1_natural_gas_fired_combined_cycle_1,2,0,1,4238.0,IL1,Natural Gas Fired Combined Cycle,1,423.8,95.0,7.37,14501,4.32,0.3,10.0,0.039,0.062,1300.329,0.568,423.8,2.0,east_north_central_naturalgas,112.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.06,0.04,Naturalgas,1
IL1_natural_gas_fired_combined_cycle_2,2,0,1,195.0,IL1,Natural Gas Fired Combined Cycle,2,195.0,67.0,13.02,19989,5.52,0.3,1.0,0.0,0.0,0.0,0.568,195.0,2.0,east_north_central_naturalgas,112.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.06,0.04,Naturalgas,1
IL1_natural_gas_fired_combustion_turbine_1,2,0,1,6531.7,IL1,Natural Gas Fired Combustion Turbine,1,96.05,47.997,12.69,14069,0.0,0.3,68.0,2.128,4.789,907.826,0.055,96.054,3.5,east_north_central_naturalgas,145.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1,1,0.106666667,0.213333333,Naturalgas,False,0.06,0.04,Naturalgas,1
IL1_natural_gas_steam_turbine_1,2,0,1,28.2,IL1,Natural Gas Steam Turbine,1,28.2,7.5,18.39,62182,1.28,0.5,1.0,0.0,0.0,0.0,0.076,28.2,13.7,east_north_central_naturalgas,106.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0.63,1.26,Naturalgas,False,0.06,0.04,Naturalgas,1
IL1_nuclear_1,2,0,0,9014.7,IL1,Nuclear,1,1126.84,396.612,10.34,234257,0.0,0.5,8.0,0.0,0.0,0.0,0.0,1126.838,0.0,east_north_central_uranium,300.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,24,24,0.041666667,0.083333333,Uranium,True,0.06,0.04,Nuclear,1
