CaseName,Zone,Minor_Techs_p0,Hydropower_p0,Existing_Nuclear_p0,New_Nuclear_p0,Coal_p0,Solar_p0,Wind_p0,Natural_Gas_p0,Battery_Power_p0,Battery_Energy_p0,Minor_Techs_p1,Hydropower_p1,Existing_Nuclear_p1,New_Nuclear_p1,Coal_p1,Solar_p1,Wind_p1,Natural_Gas_p1,Battery_Power_p1,Battery_Energy_p1,Minor_Techs_p2,Hydropower_p2,Existing_Nuclear_p2,New_Nuclear_p2,Coal_p2,Solar_p2,Wind_p2,Natural_Gas_p2,Battery_Power_p2,Battery_Energy_p2,Minor_Techs_p3,Hydropower_p3,Existing_Nuclear_p3,New_Nuclear_p3,Coal_p3,Solar_p3,Wind_p3,Natural_Gas_p3,Battery_Power_p3,Battery_Energy_p3
Basecase_RGGI,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.07,0.0,17924.08,7.35,11498.85,7755.87,22449.23,113.4,9.9,3456.7,3.67,0.0,18162.65,1388.23,11575.07,6146.52,24682.95,113.4,9.9,3456.7,7.9,0.0,18517.39,2738.8,11651.89,7700.32,36351.61
Basecase_RGGI,DE1,107.6,0.0,0.0,0.0,0.0,355.8,0.0,2429.2,12.5,25.0,107.6,0.0,0.0,0.08,0.0,356.64,0.56,2433.4,141.82,229.47,107.6,0.0,0.0,3.72,0.0,393.37,192.35,2501.18,141.96,722.08,107.6,0.0,0.0,7.99,0.0,415.56,195.3,2570.84,1022.68,3588.0
Basecase_RGGI,PA3,2.9,0.0,0.0,0.0,0.0,95.5,0.0,88.0,0.0,0.0,2.9,0.0,0.0,0.08,0.0,97.39,0.53,909.82,142.81,283.04,2.9,0.0,0.0,3.53,0.0,108.94,519.02,1327.54,143.45,764.03,2.9,0.0,0.0,7.47,0.0,134.64,523.18,1987.05,574.22,2141.47
Basecase_RGGI,PA4,1651.9,827.2,7557.0,0.0,5809.9,1070.4,1070.0,19770.5,34.6,69.2,1651.9,827.2,7557.0,0.07,5809.86,1071.5,2116.68,19780.26,221.08,477.64,1651.9,827.2,7557.0,3.6,5809.55,1333.72,3112.32,27699.14,221.33,935.81,1651.9,827.2,7557.0,7.58,5809.22,1875.72,3112.57,42486.61,1295.01,4287.82
Updated_RGGI_noOOS_noninc,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.05,0.0,17913.9,7.4,11503.06,7530.05,22005.06,113.4,9.9,3456.7,5.49,0.0,18152.87,2016.94,11561.94,6122.84,24290.19,113.4,9.9,3456.7,9717.17,0.0,18506.94,2744.9,11561.94,7700.36,49188.42
Updated_RGGI_noOOS_noninc,DE1,107.6,0.0,0.0,0.0,0.0,355.8,0.0,2429.2,12.5,25.0,107.6,0.0,0.0,0.06,0.0,356.66,0.55,2434.14,220.13,339.33,107.6,0.0,0.0,5.59,0.0,393.81,193.49,2491.06,221.8,1168.08,107.6,0.0,0.0,1682.38,0.0,1674.12,3837.52,2495.14,935.61,5848.77
Updated_RGGI_noOOS_noninc,PA3,2.9,0.0,0.0,0.0,0.0,95.5,0.0,88.0,0.0,0.0,2.9,0.0,0.0,0.06,0.0,97.43,0.56,910.84,181.4,368.14,2.9,0.0,0.0,5.18,0.0,109.37,1020.46,953.97,181.64,995.25,2.9,0.0,0.0,701.98,0.0,252.18,1022.1,954.39,250.66,1634.89
Updated_RGGI_noOOS_noninc,PA4,1651.9,827.2,7557.0,0.0,5809.9,1070.4,1070.0,19770.5,34.6,69.2,1651.9,827.2,7557.0,0.06,5809.89,1071.54,2116.62,19783.12,326.22,710.64,1651.9,827.2,7557.0,5.22,5809.61,1334.07,3112.6,27706.88,326.43,1557.96,1651.9,827.2,7557.0,3792.15,1091.95,16615.51,3112.6,27709.94,1061.47,6139.47
Updated_RGGI_procurement_noOOS_inc,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.07,0.0,17915.42,7.53,11502.06,7575.41,22106.68,113.4,9.9,3456.7,6.22,0.0,18153.7,2008.65,11576.51,6164.91,24454.22,113.4,9.9,3456.7,1645.79,0.0,18511.87,2749.77,11620.35,7748.58,39721.44
Updated_RGGI_procurement_noOOS_inc,DE1,107.6,0.0,0.0,0.0,0.0,355.8,0.0,2429.2,12.5,25.0,107.6,0.0,0.0,0.07,0.0,356.75,0.64,2434.6,204.18,316.12,107.6,0.0,0.0,6.34,0.0,392.11,192.94,2502.05,204.58,1077.13,107.6,0.0,0.0,513.95,0.0,456.82,3567.24,2545.83,950.39,4045.15
