CaseName,Metric,Baseline_Value,Case_Value,Percent_Difference
PJM_Baseline_Example_52,Energy_Price_p1,27.0,27.0,0.0
PJM_Baseline_Example_52,PJM_Capacity_Price_p1,72.0,72.0,0.0
PJM_Baseline_Example_52,NJ_Clean_Capacity_Price_p1,0.0,0.0,
PJM_Baseline_Example_52,EAC_Price_p1,0.0,0.09,inf
PJM_Baseline_Example_52,MinCap_Price_p1,0.0,0.0,
PJM_Baseline_Example_52,Total_Price_p1,99.0,99.09,0.09090909090909435
PJM_Baseline_Example_52,Energy_Price_p2,32.0,32.0,0.0
PJM_Baseline_Example_52,PJM_Capacity_Price_p2,54.0,52.0,-3.7037037037037033
PJM_Baseline_Example_52,NJ_Clean_Capacity_Price_p2,0.0,0.0,
PJM_Baseline_Example_52,EAC_Price_p2,0.0,0.0,
PJM_Baseline_Example_52,MinCap_Price_p2,0.0,0.0,
PJM_Baseline_Example_52,Total_Price_p2,86.0,84.0,-2.3255813953488373
PJM_Baseline_Example_52,Energy_Price_p3,31.0,30.0,-3.225806451612903
PJM_Baseline_Example_52,PJM_Capacity_Price_p3,54.0,53.0,-1.8518518518518516
PJM_Baseline_Example_52,NJ_Clean_Capacity_Price_p3,0.0,0.0,
PJM_Baseline_Example_52,EAC_Price_p3,0.0,0.0,
PJM_Baseline_Example_52,MinCap_Price_p3,0.0,0.0,
PJM_Baseline_Example_52,Total_Price_p3,85.0,83.0,-2.3529411764705883
